,ES,NQ,CD,EC,JY,MP,TY,US,C,S,W,CL,GC
JY_1M_RR25,,,,,0.07721418180947119,,,,,,,,
JY_1M_atm_vol,,,,,0.058803819213380695,,,,,,,,
JY_2M_1M_atm_vol,,,,,0.040221130501016035,,,,,,,,
JY_2M_Fly25,,,,,0.0,,,,,,,,
JY_2M_RR25,,,,,0.02243395174220018,,,,,,,,
JY_daily_tweet,,,,,0.0968378752078865,,,,,,,,
JY_max_tweet,,,,,0.056459157284822745,,,,,,,,
JY_min_tweet,,,,,0.046018107937266635,,,,,,,,
JY_opening_down,,,,,0.0,,,,,,,,
JY_opening_unch,,,,,0.0,,,,,,,,
JY_opening_up,,,,,0.0,,,,,,,,
JY_volume_chg,,,,,0.0860244286529856,,,,,,,,
MP_1M_Fly25,,,,,,0.09582709491573937,,,,,,,
MP_1M_RR25,,,,,,0.0653439299292461,,,,,,,
MP_1M_atm_vol,,,,,,0.025084934995039235,,,,,,,
MP_2M_1M_atm_vol,,,,,,0.08397834908721992,,,,,,,
MP_2M_Fly25,,,,,,0.002942882777136917,,,,,,,
MP_2M_RR25,,,,,,0.01236793795074349,,,,,,,
MP_daily_tweet,,,,,,0.018206767343507672,,,,,,,
MP_max_tweet,,,,,,0.05035910950256779,,,,,,,
MP_min_tweet,,,,,,0.11584842874073036,,,,,,,
MP_opening_down,,,,,,0.0,,,,,,,
MP_opening_unch,,,,,,0.020553633845013942,,,,,,,
MP_opening_up,,,,,,0.0,,,,,,,
MP_volume_chg,,,,,,0.014624789728380888,,,,,,,
NQ_1M_Fly25,,0.04026223146296875,,,,,,,,,,,
NQ_1M_RR25,,0.030469333347471737,,,,,,,,,,,
NQ_1M_atm_vol,,0.003418034189620233,,,,,,,,,,,
NQ_2M_1M_atm_vol,,0.07408298962606602,,,,,,,,,,,
NQ_2M_Fly25,,0.019364577156983764,,,,,,,,,,,
NQ_2M_RR25,,0.0,,,,,,,,,,,
NQ_daily_tweet,,0.04965758204828069,,,,,,,,,,,
NQ_max_tweet,,0.04677526510588116,,,,,,,,,,,
NQ_min_tweet,,0.0093715181921609,,,,,,,,,,,
NQ_opening_down,,0.0,,,,,,,,,,,
NQ_opening_unch,,0.0,,,,,,,,,,,
NQ_opening_up,,0.0,,,,,,,,,,,
NQ_volume_chg,,0.04626731340601518,,,,,,,,,,,
S_1M_Fly25,,,,,,,,,,0.0908993498092632,,,
S_1M_RR25,,,,,,,,,,0.0468221318186986,,,
S_1M_atm_vol,,,,,,,,,,0.05381443711590095,,,
S_2M_1M_atm_vol,,,,,,,,,,0.015466266581977205,,,
S_2M_Fly25,,,,,,,,,,0.040119871350624094,,,
S_2M_RR25,,,,,,,,,,0.041000235388361866,,,
S_daily_tweet,,,,,,,,,,0.05031257128163391,,,
S_down_gamma_5,,,,,,,,,,0.0329384919568243,,,
S_max_tweet,,,,,,,,,,0.019936438452594494,,,
S_min_tweet,,,,,,,,,,0.0449150084481888,,,
S_opening_down,,,,,,,,,,0.0,,,
S_opening_unch,,,,,,,,,,0.0,,,
S_opening_up,,,,,,,,,,0.0,,,
S_up_gamma_5,,,,,,,,,,0.030280746512585197,,,
S_volume_chg,,,,,,,,,,0.0855566407732738,,,
TY_1M_Fly25,,,,,,,0.06660256662748694,,,,,,
TY_1M_RR25,,,,,,,0.0,,,,,,
TY_1M_atm_vol,,,,,,,0.06153957378246549,,,,,,
TY_2M_1M_atm_vol,,,,,,,0.05050123479317002,,,,,,
TY_2M_Fly25,,,,,,,0.0270079733979853,,,,,,
TY_2M_RR25,,,,,,,0.03932758852513907,,,,,,
TY_daily_tweet,,,,,,,0.020074098071163376,,,,,,
TY_max_tweet,,,,,,,0.033015461432558645,,,,,,
TY_min_tweet,,,,,,,0.051033752141988506,,,,,,
TY_opening_down,,,,,,,0.01289408866995074,,,,,,
TY_opening_unch,,,,,,,0.0,,,,,,
TY_opening_up,,,,,,,0.0,,,,,,
TY_volume_chg,,,,,,,0.020452026785792405,,,,,,
US_1M_Fly25,,,,,,,,0.010705938383612012,,,,,
US_1M_RR25,,,,,,,,0.036054452023462184,,,,,
US_1M_atm_vol,,,,,,,,0.03730962848460568,,,,,
US_2M_1M_atm_vol,,,,,,,,0.0575955905587958,,,,,
US_2M_Fly25,,,,,,,,0.08264075315687361,,,,,
US_2M_RR25,,,,,,,,0.06339412676878832,,,,,
US_daily_tweet,,,,,,,,0.06700088149463813,,,,,
US_max_tweet,,,,,,,,0.049754714061164045,,,,,
US_min_tweet,,,,,,,,0.021813142529190314,,,,,
US_opening_down,,,,,,,,0.0,,,,,
US_opening_unch,,,,,,,,0.010377296154354435,,,,,
US_opening_up,,,,,,,,0.0,,,,,
US_volume_chg,,,,,,,,0.03354761479763038,,,,,
W_1M_Fly25,,,,,,,,,,,0.07474187450717855,,
W_1M_RR25,,,,,,,,,,,0.021541082362235824,,
W_1M_atm_vol,,,,,,,,,,,0.010212068675430317,,
W_2M_1M_atm_vol,,,,,,,,,,,0.049084125530525595,,
W_2M_Fly25,,,,,,,,,,,0.0432968616245417,,
W_2M_RR25,,,,,,,,,,,0.010012771880628183,,
W_daily_tweet,,,,,,,,,,,0.040291639069181935,,
W_down_gamma_5,,,,,,,,,,,0.0,,
W_max_tweet,,,,,,,,,,,0.08063175896564978,,
W_min_tweet,,,,,,,,,,,0.037009078428855896,,
W_opening_down,,,,,,,,,,,0.0,,
W_opening_unch,,,,,,,,,,,0.0,,
W_opening_up,,,,,,,,,,,0.0,,
W_up_gamma_5,,,,,,,,,,,0.038884415341061594,,
W_volume_chg,,,,,,,,,,,0.06931140638688436,,
intra_blend,0.05170238049595036,0.07506634784655013,0.023819386896036784,0.0,0.022481208262267967,0.021632107683332766,0.028248300032726634,0.04455858244442947,0.010365103162704357,0.031476709877064704,0.02985691092544736,0.007747807747807748,0.04422993376488653
intra_diff_15_5,0.05148500715069933,0.0329011490256132,0.08146791913423479,0.0,0.0,0.04574325832437151,0.03213164722524328,0.026692922952999593,0.06686381613396455,0.06931366873143599,0.05692831445972067,0.08261838613426832,0.0
intra_ret_1,0.0,0.06199234640753317,0.050685615838907835,0.1111440163173479,0.0,0.007651495220555995,0.04692015599343186,0.021170711825063124,0.01594058471585224,0.0,0.022745062049822073,0.030988856289122194,0.0369229653691549
intra_ret_15,0.027324797407290186,0.07441390950280223,0.0057556567055874405,0.0,0.028810237678926584,0.01502475425127359,0.04195694677918505,0.04790545055061135,0.007640941434044882,0.05111381853940498,0.0443475150170785,0.05481516363591833,0.07111134547864947
intra_ret_5,0.0265395824719156,0.03014013508567948,0.0302583095379454,0.05052355462648788,0.0,0.010042587476979744,0.018018406079352373,0.007686886040262542,0.02138781374618813,0.0,0.015318103013145476,0.0,0.05375480293097357
svd_1,0.023781869968016765,0.1081020994411166,0.02836528364337477,0.026905639268523695,0.03266079287449451,0.010955549974886998,0.06674626956277525,0.0646520420796145,0.03271562802192589,0.018345489191142646,0.10121108246774886,0.07521068407468302,0.030126816712182567
svd_2,0.04208103252313131,0.06397820720148956,0.05500140430627271,0.06896529921254546,0.04116141971474363,0.031349023865525384,0.043787804149873134,0.0685965196456218,0.06365172740199124,0.06467142069796153,0.028752747929738566,0.07997894079435226,0.016432809115735945
topic_0,0.0,0.0,0.011050860874727883,0.009691593975628078,0.0,0.0,0.031383209940994757,0.0,0.010745073891625614,0.0,0.00989131332959807,0.011010042588989966,0.0
topic_1,0.039504093239549454,0.018318607295949606,0.05309970095947713,0.033731346110923044,0.0,0.034632821329604095,0.026279995623181156,0.0,0.014391547083601066,0.009071945204411212,0.0,0.014305585865965786,0.031367332694448906
topic_10,0.029191229704101238,0.0,0.010834177328164595,0.021178449795357452,0.0,0.043001162141116614,0.025126942023493744,0.0,0.0,0.0,0.0,0.0,0.02605230022733609
topic_11,0.009498537116418314,0.011131098183302712,0.04850863476797003,0.03969154536609254,0.031258943676787915,0.020659037095501192,0.01411931881505916,0.038940523319491514,0.019080346265313703,0.026378710365843695,0.03590621583308888,0.011718559218559224,0.03212038165331598
topic_12,0.016340384977141572,0.0,0.016358182215880087,0.007645963413298279,0.03177132299121082,0.010955549974886998,0.0,0.005765164530196907,0.0,0.028289084838594464,0.01547041369651482,0.02418884026026884,0.012831195614552851
topic_13,0.0,0.0,0.0,0.0,0.027653601191228526,0.0054198091145605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
topic_14,0.0,0.013569338737740449,0.026035587984752934,0.0,0.00955745426662285,0.013963978777514686,0.03482318415260453,0.0,0.0,0.011118478297662215,0.01869709632486872,0.022401002877193366,0.027373600448054883
topic_15,0.007915447597015263,0.01101164249548191,0.04367486364569911,0.014336181399934275,0.015382950200564398,0.007651495220555995,0.026599874139833567,0.010515809847612408,0.007640941434044882,0.01633666603054715,0.0,0.013171273171273177,0.0
topic_16,0.00655851372324121,0.0,0.010625827764161423,0.010296626837982343,0.0,0.0,0.0,0.009224263248315049,0.017192118226600984,0.03153411982441969,0.0,0.0,0.0
topic_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010510436515758812,0.0,0.02458705406459907,0.0
topic_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010492771916572656,0.0,0.0,0.0
topic_19,0.021814822085554016,0.03602707247836696,0.026512979693469108,0.023645390101190305,0.0,0.0,0.032547864576262145,0.0,0.0,0.0,0.02010501020475344,0.0,0.0
topic_2,0.004958628969673475,0.0,0.0,0.0,0.011121401328433856,0.0,0.021215538373826708,0.0,0.0,0.0,0.0,0.010791589363017938,0.0
topic_20,0.011131098183302712,0.015300457407009747,0.0,0.03901304154960097,0.0,0.010759915153906867,0.0,0.0,0.0,0.0,0.0,0.02230446766543023,0.010509143917949517
topic_21,0.031348628441966994,0.0,0.0,0.03173074816518786,0.0,0.03428460531136328,0.03956971704474676,0.03162220895517,0.01923062710283437,0.0,0.012489279125254077,0.0,0.0
topic_22,0.020624231825674355,0.01157634211063481,0.0,0.0,0.028947744046873235,0.018363588529334392,0.0,0.0,0.029461706875499975,0.0,0.0,0.0,0.0
topic_23,0.0,0.009498537116418312,0.0,0.0,0.0,0.008607932123125495,0.0,0.009383913958382048,0.0,0.01016057862894054,0.029445061973748864,0.0,0.0
topic_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
topic_3,0.0,0.02999504308535784,0.0,0.011059339937092152,0.044767439135999045,0.04898705175423177,0.0,0.026423670763402494,0.0,0.009172744595571323,0.018112093741308514,0.0448739302068326,0.025655014921204998
topic_4,0.03313221263624838,0.017665048615402173,0.027565389358156653,0.03375640357519841,0.03159257169913176,0.0,0.014385436794423044,0.030739714260043852,0.0,0.021477439239322587,0.0,0.019775587507730365,0.0
topic_5,0.035101320689221685,0.0,0.010360182070057396,0.015291926826596558,0.04664037682111949,0.021028235116632907,0.009058212829069334,0.059734438175365875,0.04092866589713879,0.010319337670017746,0.0,0.03523057229585995,0.0
topic_6,0.0,0.04915649486097698,0.0,0.0,0.018350312191915866,0.013447021348711667,0.025621369525187974,0.026193038990302373,0.0,0.008599448058348119,0.0,0.0,0.022831214646607062
topic_7,0.03331788060557685,0.010487278567125634,0.0,0.0,0.024217068359477904,0.010802110899608466,0.0,0.0,0.0,0.0,0.0,0.0,0.0
topic_8,0.02234606704906767,0.0,0.0,0.019108238164983925,0.0,0.010813363098462217,0.009546854993102455,0.0,0.02798406199321047,0.009554942287053465,0.00861643294489433,0.015168848909137469,0.03656077963263196
topic_9,0.037976722947523335,0.0,0.0,0.010704348778617593,0.005352174389308791,0.03908568739863136,0.029464587117926547,0.0,0.012868953994180853,0.0,0.057090264191095016,0.01060662451036784,0.0
