"I will be interviewed on @foxandfriends at 6:00 A.M. Enjoy!,02-28-2017 02:43:03"
".CNN &amp; @CNNPolitics  Lawyer Elizabeth Beck did a terrible job against me she lost (I even got legal fees). I loved beating hershe was easy,07-29-2015 12:40:14"
"Lawyer Elizabeth Beck was easy for me to beat. Ask her clients if they are happy with her results against me. Got total win and legal fees.,07-29-2015 12:32:53"
".@CNN &amp; @CNNPolitics did not say that lawyer Beck lost the case and I got legal fees. Also she wanted to breast pump in front of me at dep.,07-29-2015 12:28:24"
"Public Policy Polling (PPP) has just come out with a major poll putting me #1 with Hispanics - leading all Republican candidates.Told you so,07-29-2015 11:28:02"
"Via @BreitbartNews by @mboyle1: ""TRUMP: OBAMA SHOULDN’T ATTACK AMERICANS OVERSEAS HILLARY’S EMAIL WAS ‘CRIMINAL"" http://t.co/BWrHxT50sy,07-28-2015 22:49:30"
"A nation WITHOUT BORDERS is not a nation at all. We must have a wall. The rule of law matters. Jeb just doesn’t get it.,07-28-2015 21:20:58"
"While I’m beating my opponents in the polls I’m also beating lobbyists special interests &amp; donors that are supporting them with billions.,07-28-2015 20:22:56"
"“Government's first duty is to protect the people not run their lives.” – Ronald Reagan,07-28-2015 19:46:49"
"We can make Washington work for us. It’s time for real leadership. Let’s #MakeAmericaGreatAgain!  https://t.co/u25yI6aIvG,07-28-2015 19:25:57"
"Obama’s nuclear deal with the Iranians will lead to a nuclear arms race in the Middle East. It has to be stopped.,07-28-2015 19:00:35"
"Via @limbaugh: “Trump Doubled Down -- and It Worked” http://t.co/91i6FWWxGf,07-28-2015 18:40:00"
"“@marklevinshow: ‘PLUNDER AND DECEIT’”  http://t.co/dQ4OHpT227 via @AmSpec by @JeffJlpa1,07-28-2015 18:11:39"
"Via cnsnews by @SJonesCNS: “Trump Explains His Appeal: 'People Are Tired...Of These Incompetent Politicians'” http://t.co/Y36EQiGE5a,07-28-2015 18:01:20"
".#IranDeal will go down as one of the dumbest &amp; most dangerous misjudgments ever entered into in history of our country—incompetent leader!,07-28-2015 17:17:26"
"Via @politico by “Poll: Trump has twice the support of Bush in New Hampshire”  http://t.co/aeHiTqEZlq,07-28-2015 16:49:20"
"My @FoxNews int. with @seanhannity on Obama being all talk &amp; no action &amp; making America Great Again! http://t.co/RqP6MNnR7h,07-28-2015 16:33:50"
"We must protect our veterans. #MakeAmericaGreatAgain https://t.co/erwKxZVGpP,07-28-2015 16:23:09"
"Thank you @mcuban for your nice words. I am rapidly becoming a @dallasmavs fan!   https://t.co/sLXkCh9qfg,07-28-2015 16:04:46"
"After all is said and done more is said than done. -- Aesop,07-28-2015 15:38:07"
".@TheBrodyFile was fantastic tonight on @CNN. Thank you we will MAKE AMERICA GREAT AGAIN!,07-28-2015 03:19:39"
"Thank you @scottienhughes for the great job you did on @CNN. Great energy and smarts! I will not let you down.,07-28-2015 03:15:10"
"Will be interviewed tonight on @seanhannity at 10:00. There is so much to talk about!,07-27-2015 23:57:37"
"Boston's Mayor Walsh wasted a lot of time and money on going for the Olympics and then he gave up. I don't want him negotiating for me!,07-27-2015 23:53:44"
"I’ll be on @seanhannity tonight at 10 PM and look forward to it. Lots to discuss!  Enjoy.,07-27-2015 21:49:59"
"Be in Turnberry on Thurs AM for start of Women's British Open one of  world's great golf tournaments. Back soon to #MakeAmericaGreatAgain!,07-27-2015 21:47:35"
"I own Turnberry in Scotland one of great resorts in world. Women’s British Open there this week. I’ll go for two days &amp; back on trail.,07-27-2015 21:42:52"
".@GovernorSununu who couldn't get elected dog catcher in NH forgot to mention my phenomenal biz success rate: 99.2% https://t.co/WsA3Jnjhwa,07-27-2015 21:01:07"
"Thanks Lou. https://t.co/hDm7MrrwTD,07-27-2015 20:15:08"
"Veterans please call 855- VETS- 352 or email address veterans@donaldtrump.com to share your stories about the need to reform the VA.,07-27-2015 19:50:26"
"We must build a wall to secure our border. It will save lives and help Make America Great Again! https://t.co/u25yI5T7E8,07-27-2015 19:44:23"
"“Iowans Drawn to Donald Trump Praise His Antiestablishment Bent” http://t.co/nyYk3DBXD5 via @WSJ by @heatherhaddon &amp; @reidepstein,07-27-2015 19:25:03"
"Via @nytpolitics by @AshleyRParker: “Strong Showings for Donald Trump in Iowa and New Hampshire Polls” http://t.co/UARuXLir8b,07-27-2015 19:24:23"
"Thanks. https://t.co/xU5h2BwojR,07-27-2015 19:10:32"
".@SteveRattner While I think you should have gone to prison for what you did I guess Obama saved you. But watch – I will win!,07-27-2015 18:51:17"
"When people find out how bad a job Scott Walker has done in WI they won’t be voting for him. Massive deficit bad jobs forecast a mess.,07-27-2015 18:01:15"
"Great news I’m now leading in most polls w/ new CNN poll also having me #1. NBC I am #1 in NH by a lot #2 in Iowa close &amp; gaining.,07-27-2015 17:35:14"
"Thank you Greta.  https://t.co/CWQZlIBV78,07-27-2015 17:28:59"
"Thank you Wayne Root -- we will #MakeAmericaGreatAgain!http://t.co/L3cKIEDZ2X,07-27-2015 17:24:13"
".@ScottWalker is a nice guy but not presidential material. Wisconsin is in turmoil borrowing to the hilt and doing poorly in jobs etc.,07-26-2015 02:19:49"
"Always great to speak with Veterans - our nation's heroes. We will Make America Great Again! http://t.co/P58AGMmBwY,07-26-2015 01:30:55"
"Great success in Iowa today. Fantastic sold out crowd. Will be back soon!,07-26-2015 01:11:23"
"Packed venue of people who want to #MakeAmericaGreatAgain https://t.co/wisZRVAmPR,07-25-2015 17:32:10"
"Supporters waiting to hear me speak in Oskaloosa Iowa. #MakeAmericaGreatAgain https://t.co/qEUeu8cDwO,07-25-2015 17:17:34"
".@ScottWalker despite your coming to my office to give me an award your very dumb fundraiser hit me very hard--- not smart!,07-25-2015 16:59:49"
".@ShawnJohnson Congratulations on your engagement --- he is a lucky guy. You are  a true winner and will be an amazing couple.,07-25-2015 16:14:59"
".@Macy’s is a big contributor to @PPFA . Anybody against Planned Parenthood should boycott racial profiling Macy’s.,07-25-2015 15:52:24"
"Isn't it funny that I am now #1 in the money losing @HuffingtonPost (poll) and by a big margin. Dummy @ariannahuff must be thrilled!,07-25-2015 13:33:56"
"The ultra liberal and seriously failing Des Moines Register is BEGGING my team for press credentials to my event in Iowa today-but they lie!,07-25-2015 13:16:32"
"Big poll just out by @TheEconomist has me in 1st. place by a lot. A great honor but we have a long way to go to MAKE AMERICA GREAT AGAIN!,07-25-2015 12:09:05"
"Getting ready to go to Iowa today. Big crowd - will be a great day!,07-25-2015 11:57:50"
"Via @BreitbartNews by @NolteNC: ""DONALD TRUMP SURGES TO COMMANDING LEAD IN POST-MCCAIN BACKLASH POLL"" http://t.co/OvL90Hm1KN,07-24-2015 21:54:19"
"Isn’t it amazing that @Macys paid a massive fine for profiling African Americans--&amp; then criticized me for discussing illegal immigration!,07-24-2015 20:46:59"
"Thank you @DennisRodman.  It's time to #MakeAmericaGreatAgain! I hope you are doing well! https://t.co/H7d2ZLmod2,07-24-2015 20:29:19"
".@marklevinshow has written a great book Plunder and Deceit. He powerfully analyzes issues that are crucial to us today. Read it!,07-24-2015 19:46:11"
"True! https://t.co/zuI0QYYCaQ,07-24-2015 19:01:26"
"True thanks. https://t.co/xD2hlCobgo,07-24-2015 18:50:46"
"It is time to send someone from the outside to fix DC from the inside. Let’s Make America Great Again! https://t.co/u25yI5T7E8,07-24-2015 18:18:28"
"Be sure to get a copy of @williebosshog's new book American Hunter.,07-24-2015 17:56:44"
"From an amazing day on the border in Laredo. https://t.co/vIcDmjUiJV,07-24-2015 17:47:22"
"Arriving to check out the border. https://t.co/nZMeKl3siW,07-24-2015 17:46:34"
"I love Bluffton SC what a great place -- what great people.,07-24-2015 17:18:12"
"DC has shrunk our military and exploded our country with debt. We can’t send another politician to the White House https://t.co/u25yI6aIvG,07-24-2015 16:48:52"
"When will anyone be held accountable for the VA scandal? The politicians are experts in never facing any consequence.,07-24-2015 16:43:23"
".@williebosshog watched you on @foxandfriends. You were great and I appreciate the nice statements. I’m sending out for your new book now!,07-24-2015 16:35:30"
"Great read:  “How New York's Veterans Day Parade Became 'America's Parade'” http://t.co/PuYQl4CRg3,07-24-2015 16:21:07"
"True. https://t.co/kbdTazxEZG,07-24-2015 12:38:07"
"Thoughts &amp; prayers with everyone in Lafayette Louisiana this evening.,07-24-2015 02:33:02"
"You’re just not getting there @DanaPerino. Sometimes things just don’t work out but don’t worry--- no problem!,07-24-2015 02:15:20"
".@bobbyjindal watched you on @TeamCavuto. Made some excellent points. Best Wishes.,07-23-2015 22:04:31"
"Great! https://t.co/FFzhWLUfzF,07-23-2015 17:18:23"
"Thanks.  https://t.co/CD3SYvgKfj,07-23-2015 14:45:29"
"True! https://t.co/sEdzvjuHgY,07-23-2015 14:28:07"
"Getting ready to lift off for Laredo. Will land at 1:OO P.M. Should be exciting and informative!,07-23-2015 13:22:55"
".@BillKristol   Bill your small and slightly failing magazine will be a giant success when you finally back Trump. Country will soar!,07-23-2015 13:07:34"
"What a waste of time being interviewed by @andersoncooper when he puts on really stupid talking heads likeTim O'Brien-dumb guy with no clue!,07-23-2015 10:36:53"
"Boycott @Macys no guts no glory. Besides there are far better stores!,07-23-2015 02:57:01"
".@AC360  Has the absolutely worst anti-Trump talking heads on his show. Dopey writer O'brian knows nothing about me or my wealth. A waste!,07-23-2015 02:47:26"
".@tedcruz you were terrific on @seanhannity tonight. I am going to the border tomorrow.,07-23-2015 02:30:15"
".@FrankLuntz knows nothing about me or my religion. Came to my office looking for work. I had NO interest. I will save the vets!,07-23-2015 02:14:12"
"Via @CBNNews by @TheBrodyFile: ""Brody File Exclusive: Donald Trump Comes Out In Support Of 20 Week Abortion Ban"" http://t.co/xPHdH74OXf,07-22-2015 22:58:13"
"It's going to take an outsider to clean up after Clinton Bush and Obama. Let's Make America Great Again! https://t.co/u25yI5T7E8,07-22-2015 19:34:19"
"Let’s Trump the Establishment! We are no longer silent. We will Make America Great Again! https://t.co/u25yI6aIvG,07-22-2015 19:03:08"
"Shouldn’t George Will have to give a disclaimer every time he is on Fox that his wife works for Scott Walker?,07-22-2015 18:39:45"
"Will be interviewed by @andersoncooper on @CNN tonight. Let’s see if he treats me fairly—enjoy!,07-22-2015 17:56:26"
"Obama still will keep all military recruitment centers &amp; bases Gun Free Zones! It has to stop. MILITARY LIVES MATTER!,07-22-2015 17:43:53"
"“Donald Trump on VA woes: ‘I’d fire everybody’; ‘you fix it by getting Trump elected’” http://t.co/jpqYBBN6gx via @washtimes by @dsherfinski,07-22-2015 17:20:56"
"Via @ BreitbartNews by @BobPriceBBTX: “DONALD TRUMP HEADING TO TEXAS BORDER” http://t.co/xcxP1l8S5E,07-22-2015 17:14:59"
"Thank you @chucktodd for your commentary last night on @NBCNightlyNews. Very fair -- we are making progress together!,07-22-2015 14:59:02"
"I'm going to the BORDER tomorrow. Will be seeing some really brave people. Look forward to a big day!,07-22-2015 14:31:54"
".@GovernorPerry in my office last cycle playing nice and begging for my support and money. Hypocrite! https://t.co/axPAVsLEqx,07-22-2015 14:13:57"
"True thanks. https://t.co/xqlRporCwT,07-22-2015 13:16:26"
"I hear a failing New York newspaper is going to publish one of my old cell phone numbers. So original - just one of many!,07-22-2015 00:53:41"
"Great day today in South Carolina. Fantastic capacity crowd amazing people!,07-22-2015 00:27:40"
"Via @gatewaypundit: “Mother of Murdered Teen Thanks Donald Trump During Senate Hearing” http://t.co/uQrcCwmjhq,07-21-2015 22:51:44"
"My response to the failing Des Moines Register the ultra liberal paper that has no power in Iowa https://t.co/4bEAW1sDzU,07-21-2015 21:44:40"
"I'm glad President Obama followed my lead and lowered the flags half-staff. It's about time!,07-21-2015 18:33:33"
"Flags to be flown at Half-Staff at all Trump Properties in Honor of the Five Fallen Soldiers-http://t.co/bgKmJ8TU67,07-21-2015 16:45:40"
"Response to the Des Moines Register- http://t.co/krftGdPHN4,07-21-2015 16:21:24"
"Via @AP by @kronayne &amp; @colvinj: ""Disavowed by GOP leaders Trump has supporters cheering""http://t.co/xfgPmrEtKv,07-21-2015 15:52:40"
".@ZachJohnsonPGA  You're one of the truly great competitiors. I’ve said it for years. Great going winning @OpenChampionship - Not surprised!,07-21-2015 15:00:13"
".@BreitbartNews is much smarter than sleepy eyes @chucktodd  @nbc  http://t.co/Lb3PBlN3u0 Thanks to Steve Bannon &amp; real reporters.,07-21-2015 14:47:56"
"Rick Perry did an absolutely horrible job of securing the border. He should be ashamed of himself. Gov. Abbott has since been terrific.,07-21-2015 14:30:52"
"Good luck to my new friends on your testimony in DC. You are amazing people doing something so important--- stopping illegal immigration!,07-21-2015 14:14:53"
"Just got great national poll numbers - double digit lead!  Thank you we will all MAKE AMERICA GREAT AGAIN!,07-21-2015 11:55:43"
"Wow new @ABCnews/@WashingtonPost @GOP preference poll has DonaldTrump 11 points up! Thank you.,07-21-2015 05:30:52"
"I will be interviewed on @oreillyfactor tonight at 8:00. Will be talking about the poor treatment of our veterans illegal immigration etc.,07-20-2015 23:27:55"
"Look how small the pages have become @WSJ. Looks like a tabloid—saving money I assume!,07-20-2015 20:24:14"
"This story is no longer about John McCain it’s about our horribly treated vets. Illegals are treated better than our wonderful veterans.,07-20-2015 16:46:38"
"It was only after I informed NBC that I wouldn't do the Apprentice that they became upset w/ me. They couldn’t care less about “inclusion"",07-20-2015 16:41:40"
" @johnjcarp61  At least we're talking about the #VA! We weren't a month ago! @realDonaldTrump @JohnMcCain,07-20-2015 15:10:41"
"We will soon be at a point with our incompetent politicians where we will be treating illegal immigrants better than our veterans.,07-20-2015 14:25:52"
"The ever dwindling @WSJ which is worth about 1/10 of what it was purchased for is always hitting me politically. Who cares!,07-20-2015 14:25:14"
"My @USATOpinion piece: ""Trump: I don't need to be lectured"" http://t.co/luEYQhgrr9,07-20-2015 00:02:34"
"I will be making some very big campaign stops next week - big crowds and tremendous  energy!  MAKE AMERICA GREAT AGAIN,07-19-2015 21:06:45"
"The Republican Party must get tougher and smarter and fast or it will go down to a very big defeat - just like the last two times!,07-19-2015 21:03:06"
"A true piece about the standing ovations I got yesterday http://t.co/EplLsBWgBE,07-19-2015 18:53:52"
"The Veterans Administration is in shambles and our veterans are suffering greatly. John McCain has done nothing to help them but talk.,07-19-2015 10:22:11"
"John McCain called thousands of people ""crazies"" when they came to seek help on illegal immigration last week in Phoenix. He owes apology!,07-19-2015 10:15:50"
"Wow @SharylAttkisson  just wrote the definitive piece on what I said about John McCain https://t.co/P1dxTmeCmQ,07-19-2015 04:19:30"
"One of the reasons I am no fan of John McCain is that our Vets are being treated so badly by him and the politicians. I will fix VA quickly.,07-18-2015 23:18:24"
"Via @fitsnews: “Donald Trump: John McCain Is ‘A Loser’” http://t.co/sgiETvdUqi,07-18-2015 21:45:48"
"Why would anybody listen to @MittRomney? He lost an election that should have easily been won against Obama. By the wayso did John McCain!,07-18-2015 20:46:53"
"Congrats to the new Gov. of Texas @GregAbbott_TX for taking a tough &amp; bold stance at the border. Should have been done long ago by Perry.,07-18-2015 20:18:21"
"I have a proven track record supporting our Veterans. Veterans deserve universal access to care. VA scandal proves politicians are inept.,07-18-2015 18:51:48"
"....that has served our country is put on a waiting list and gets no care.,07-18-2015 18:16:32"
"It's a national embarrassment that an illegal immigrant can walk across the border and receive free health care and one of our Veterans.....,07-18-2015 18:16:26"
"I will make this right for our great Vets!,07-18-2015 18:15:49"
"All he does is go on television is talk talk talk but incapable of doing anything.,07-18-2015 18:15:36"
"....John McCain has failed miserably to fix the situation and to make it possible for Veterans to successfully manage their lives.,07-18-2015 18:15:19"
"The Veterans of our country have been treated like third class citizens for many years...,07-18-2015 18:15:12"
"Captured or not all our soldiers are heroes!,07-18-2015 17:59:29"
"In addition to doing a lousy job in taking care of our Vets John McCain let us down by losing to Barack Obama in his run for President!,07-18-2015 17:59:14"
"Just left Family Leadership Summit in Iowa got a standing ovation from many wonderful people. I will be back soon.,07-18-2015 17:58:56"
"Statement on John McCain- http://t.co/Nh0rJPeUNl,07-18-2015 17:58:18"
"I am now in Iowa getting ready to speak. People are always amazed to find out that I am Protestant (Presbyterian). GREAT.,07-18-2015 14:09:25"
"The $10 billion (net worth) is AFTER all debt and liabilities. So simple to understand but @CNN &amp; @CNNPolitics is just plain dumb!,07-18-2015 14:03:49"
"Ratings starved @CNN and @CNNPolitics does not cover me accurately. Why can't they get it right - it's really not that hard!,07-18-2015 13:57:21"
"Made a speech in Arkansas last night before a record GOP crowd. Great spirit and amazing people. MAKE AMERICA GREAT AGAIN!,07-18-2015 13:49:36"
"It's driving @ariannahuff &amp; the money losing @HuffingtonPost post crazy that I am #1 in their poll and they only write bad stories about me!,07-18-2015 13:44:28"
"The liberal clown  @ariannahuff told her minions at the money losing @HuffingtonPost to cover me as enterainment. I am #1 in Huff Post Poll.,07-18-2015 13:37:55"
".@genesimmons Amazing! Thank you.  http://t.co/kCP39adNvR,07-18-2015 02:25:06"
".@genesimmons really great job handling the wise guys --- so easy for you--- such talent! I won’t forget.,07-18-2015 02:20:31"
"Response to Huffington Post- http://t.co/WxwQWHIgOO,07-17-2015 21:46:36"
"Via @TPInsidr http://t.co/8Habr989Yw,07-17-2015 19:05:23"
"Via @WashTimes by @dsherfinski http://t.co/hVNrE2XVWw,07-17-2015 19:04:28"
"Via @BreitbartNews- http://t.co/IKP5DSD5nY,07-17-2015 19:03:35"
"“God's word is the same yesterday and today and a million years from now.” - @Franklin_Graham,07-17-2015 18:10:29"
"“Donald Trump was proven right on another one of his top issues Thursday: 'gun free zones' at military bases.” http://t.co/x1swUrw8l1,07-17-2015 18:10:09"
"Via @AP March2013: Jeb said “he was open to…pathway for citizenship for illegal immigrants” http://t.co/zeEKCFXroE Lying on campaign trail!,07-17-2015 18:09:47"
"We will no longer be silent. We can take our country back! Let’s Make America Great Again! https://t.co/u25yI6aIvG,07-17-2015 17:32:26"
"MILITARY LIVES MATTER! END GUN FREE ZONES! OUR SOLDIERS MUST BE ABLE TO PROTECT THEMSELVES! THIS HAS TO STOP!,07-17-2015 17:31:57"
"Looking forward to speaking at the @ARGOP Reagan-Rockefeller Dinner tonight! Record crowd. We are no longer silent! #MAKEAMERICAGREATAGAIN!,07-17-2015 17:31:19"
"I had thousands join me in New Hampshire last night! @HillaryClinton had 68. The #SilentMajority is fed up with what is going on in America!,07-17-2015 16:36:57"
"Get rid of gun free zones. The four great marines who were just shot never had a chance. They were highly trained but helpless without guns.,07-17-2015 09:44:29"
"Thoughts and prayers to the families of the four great Marines killed today.,07-16-2015 21:02:38"
".@GovernorPerry failed on the border. He should be forced to take an IQ test before being allowed to enter the GOP debate.,07-16-2015 20:49:34"
".@GovernorPerry just gave a pollster quote on me. He doesn't understand what the word demagoguery means.,07-16-2015 20:48:19"
".@SenJohnMcCain should be defeated in the primaries. Graduated last in his class at Annapolis--dummy!,07-16-2015 20:39:56"
"The thousands of people that showed up for me in Phoenix were amazing Americans. @SenJohnMcCain called them ""crazies""--must apologize!,07-16-2015 20:38:16"
"CNN: ""New GOP polls show Trump's favorability is up"" http://t.co/lEBOJST9dA@MichaelCohen212,07-16-2015 20:28:53"
"“No government ever voluntarily reduces itself in size. So governments' programs once launched never disappear.” – Ronald Reagan,07-16-2015 20:27:08"
"More Bush cronyism – “Jeb Bush and the Common Core Money Trail”  http://t.co/SbeHmuQJak It’s the Bush way!,07-16-2015 20:06:38"
"We need leaders who can negotiate great deals for Americans. It is common sense. Let’s Make America Great Again! https://t.co/u25yI5T7E8,07-16-2015 20:03:29"
"Leaving for New Hampshire now. Making a speech—packed house.  Love it!,07-16-2015 20:02:34"
"The Iran deal poses a direct national security threat. It must be stopped in Congress. Stand up Republicans!,07-16-2015 19:57:10"
"The worst show in Las Vegas in my opinion is @pennjillette. Hokey garbage. New York show even worse!,07-16-2015 19:54:31"
"Dopey @Lawrence O’Donnell whose unwatchable show is dying in the ratings said that my Apprentice $ numbers were wrong. He is a fool!,07-16-2015 19:49:24"
"No deal is better than a bad deal. America out negotiated again.  #Iran,07-16-2015 19:20:45"
"FLASHBACK – “Donald Trump Blasts Obama for Failing to Secure Christian Pastor’s Freedom in Iran""  http://t.co/AwCVNdzyry via @theblaze’,07-16-2015 19:10:27"
"Via @TIME by @ZekeJMiller: “Trump Talks Politics at His Virginia Winery” http://t.co/h3eIc4mgu3,07-16-2015 18:53:43"
"Via @FSMtweet: “Trump is Right: Illegal Alien Crime is Staggering in Scope and Savagery” http://t.co/najLkku1zE,07-16-2015 18:51:22"
"“30000 MACY’S CUSTOMERS RETALIATE IN SUPPORT OF DONALD TRUMP”  http://t.co/vL4ifAkxRt via @BreitbartNews by @ASwoyer,07-16-2015 18:45:41"
"Is this true about Univision and Fusion? Wow!?!  http://t.co/y7nd9BziBP,07-16-2015 18:37:18"
"Via @BreitbartNews by Steve Bannon: “‘TIME TO GET TOUGH’: TRUMP’S BLOCKBUSTER POLICY MANIFESTO” http://t.co/rrRd7AkFED,07-16-2015 18:35:32"
"They are great people! https://t.co/7RTinwz1a8,07-16-2015 17:40:54"
"Thank you. https://t.co/iGNIDSqlfZ,07-16-2015 17:36:17"
".@KarlRove wasted $400 million + and didn’t win one race—a total loser. @FoxNews,07-16-2015 15:02:34"
".@FoxNews You shouldn’t have @KarlRove on the air—he’s a clown with zero credibility—a Bushy!,07-16-2015 15:02:03"
".@BradSteinle Great talking to you and your parents—fantastic people. Keep your sister’s very important memory alive—big impact!,07-16-2015 14:46:22"
".@andydean2014 Thank you you were great. You can defend me anytime. Amazing job.,07-16-2015 14:02:01"
"I hope the boycott of @Macys continues forever. So many people are cutting up their cards. Macy's stores suck and they are bad for U.S.A.,07-16-2015 13:14:15"
"I loved firing goofball atheist Penn @pennjillette on The Apprentice. He never had a chance. Wrote letter to me begging for forgiveness.,07-16-2015 13:10:00"
"I hear @pennjillette show on Broadway is terrible. Not surprised boring guy (Penn). Without The Apprentice  show would have died long ago.,07-16-2015 10:18:31"
"Irrelevant clown @KarlRove sweats and shakes nervously on @FoxNews as he talks ""bull"" about me. Has zero cred. Made fool of himself in '12.,07-16-2015 10:10:17"
"Thank you Piers. https://t.co/uH6h74qShv,07-15-2015 20:18:22"
".@StephenBaldwin7 You were fabulous on CNN last night--I greatly appreciate your support.  Best wishes.,07-15-2015 20:01:56"
".@PolitiTrends @realdonaldtrump is dominating the discussion on Twitter with 79352 mentions today (via http://t.co/nexlCVB8ml ),07-15-2015 15:11:13"
".@FoxNews should not put @KarlRove on—he has no credibility a bush plant who called all races wrong.,07-15-2015 15:01:52"
"Why do people listen to clown @KarlRove on @FoxNews? Spent $430M &amp; lost all races—a Bushy!,07-15-2015 15:01:37"
".@BradSteinle Thank you for yr wonderful tweet of July 4. I wanted a little time to go by before calling. Your sister &amp; family are amazing.,07-15-2015 14:50:16"
"Via The Hill: Trump Tops National Poll for Second Straight Week  http://t.co/s6nxfqdSQs,07-14-2015 20:37:38"
"We are no longer silent. We are energized &amp; ready to take our country back. Let’s Make America Great Again! https://t.co/u25yI5T7E8,07-14-2015 16:31:59"
"Getting ready to land in Charlottesville Virginia at Trump Vineyards another job producing development that I bought and made AMAZING!,07-14-2015 15:09:02"
"Who do you want negotiating for us? https://t.co/WASlyxbG1j,07-14-2015 15:00:11"
"Response to Hillary Clinton- http://t.co/nzYfehyURa,07-14-2015 14:42:03"
"I can't believe that President Obama isn't able or willing to make just one phone call to the family of Kate Steinle.Come on Pres-MAKE CALL!,07-14-2015 14:06:38"
"A nation without borders is no nation at all. We must build a wall. Let’s Make America Great Again! https://t.co/u25yI5T7E8,07-14-2015 13:40:19"
"Matt Harvey @Mets -- Don't let the @NYDailyNews get you down---nobody reads it. Play well.,07-14-2015 13:23:46"
"Ford is MOVING jobs from Michigan to Mexico AGAIN! http://t.co/TgVQ1458AJ As President this will stop on Day One! Jobs will stay here.,07-14-2015 12:55:59"
"Let Pete Rose into the Baseball Hall of Fame. It's time he has paid a big and very long price!,07-14-2015 11:13:40"
"I am so happy that people are boycotting Macy's http://t.co/qtmaEbeVy8,07-13-2015 21:16:56"
"Very nice - @HuffingtonPost @pollsterpolls has me in first place at 18% and Bush second at 14% http://t.co/IXCbCtDUIp,07-13-2015 19:18:57"
"I absolutely support Kate’s Law—in honor of the beautiful Kate Steinle who was gunned down in SF by an illegal immigrant.,07-13-2015 19:15:40"
"Rush Limbaugh: ""Trump Has Changed the Entire Debate on Immigration"" http://t.co/894aXjRXDn,07-13-2015 18:54:41"
"Have some fun with this- https://t.co/J59RW8tqQX,07-13-2015 17:04:06"
"El Chapo comes to the U.S. often thru our border—it's been revealed he has CA drivers license. http://t.co/E7UA3eyP5O,07-13-2015 16:24:01"
"Mexico’s totally corrupt gov’t looks horrible with El Chapo’s escape—totally corrupt. U.S. paid them $3 billion.,07-13-2015 16:21:40"
"The joke around town is that I freed El Chapo from the Mexican prison because the timing was so good w/ my statements on border security.,07-13-2015 16:20:39"
".@McLaughlinGroup Greatly appreciate yr wonderful comments this weekend. People of “great accomplishment” should easily quality for prez.,07-13-2015 16:14:16"
"Isn’t it interesting that now that I’m #1 in the polls the networks show polls that are a month old!,07-13-2015 16:14:01"
"When will people and the media start to apologize to me for my statement ""Mexico is sending...."" which turned out to be true?  El Chapo,07-13-2015 10:59:19"
"....likewise billions of dollars gets brought into Mexico    through the border. We get the killers drugs &amp; crime they get the money!,07-13-2015 10:53:14"
"El Chapo and the Mexican drug cartels use the border unimpeded like it was a  vacuum cleaner sucking drugs and death right into the U.S.,07-13-2015 10:47:36"
"The U.S. will invite El Chapo the Mexican drug lord who just escaped prison to become a U.S. citizen because our ""leaders"" can't say no!,07-13-2015 04:05:42"
".....but that's what I've been saying. Very unfair treatment by the media!,07-13-2015 02:14:13"
"Now that the Mexican drug lord escaped from prison everyone is saying that most of the cocaine etc. coming into the U.S. comes over border!,07-13-2015 02:10:23"
"I hear that sleepy eyes @chucktodd will be fired like a dog from ratings starved Meet The Press? I can't imagine what is taking so long!,07-13-2015 00:36:25"
"...Trump however would kick his ass!,07-13-2015 00:29:05"
"Can you envision Jeb Bush or Hillary Clinton negotiating with 'El Chapo' the Mexican drug lord who escaped from prison? ....,07-13-2015 00:25:37"
"Sleep eyes @ChuckTodd is killing Meet The Press. Isn't he pathetic? Love watching him fail!,07-12-2015 21:08:52"
"Mexico's biggest drug lord escapes from jail. Unbelievable corruption and USA is paying the price.  I told you so!,07-12-2015 21:03:19"
"Phoenix Convention Center officials did not want to have thousands of people standing outside in the heat so they let them in. A GREAT day!,07-12-2015 13:21:24"
"Convention Center officials in Phoenix don't want to admit that they broke the fire code by allowing 12-15000 people in 4000 code room.,07-12-2015 13:18:21"
"Via @BreitbartNews by @AWRHawkins: ""TRUMP PREACHES PEACE THROUGH STRENGTH IN PHOENIX"" http://t.co/HCu2T8TFP2,07-12-2015 03:43:13"
"I will not be able to attend the Miss USA pageant tomorrow night because I am campaigning in Phoenix. Wishing all well!,07-12-2015 00:56:56"
"Legal immigrants want border security. It is common sense. We must build a wall! Let's Make America Great Again! http://t.co/I5CybmR0MF,07-11-2015 19:06:50"
"Great @ANHQDC segment with @CharlesHurt: ""Breaking Down the Trump Factor"" http://t.co/PIo4YHPJlP Let's Make America Great Again!,07-11-2015 19:00:20"
"Today I am standing with patriots in Arizona for border security! Build a wall! Let's Make America Great Again! https://t.co/Ve6IxqXqfb,07-11-2015 16:55:19"
"Today I will be rallying with with 15000 patriots in Arizona for border security! Let's Make America Great Again! https://t.co/u25yI5T7E8,07-11-2015 16:48:29"
"Via @CNNPolitics by @mj_lee: ""Father of murder victim to introduce Trump in Phoenix"" http://t.co/JZuIg1cmEB,07-11-2015 16:37:38"
"Getting ready to go to Las Vegas (Freedom Fest) - great crowd. Then on to amazing Phoenix - that will be a total happening! Love America.,07-11-2015 14:49:40"
"Boycott @Macys and @Univision. MAKE AMERICA GREAT AGAIN!,07-11-2015 11:46:36"
