W Wheat Futures
MAR18     422'2     425'6     421'2     424'6     425'2    +3'6       51901      421'4       53024      294922
MAY18     435'0     438'4     434'4     437'6     438'2    +3'6       15074      434'4       14843      103058
JLY18     447'4     451'4     447'4     451'0     451'2    +3'4       10970      447'6       10902       77170
SEP18     461'6     466'0     461'6     465'4A    466'0    +4'0        1988      462'0        1788       29367
DEC18     480'0     485'0     480'0     484'2     484'6    +4'4        3369      480'2        3077       47549
MAR19     494'2     498'2     494'2     498'0A    498'2    +5'0         240      493'2         229        4460
MAY19      ----     504'0B     ----     504'0B    506'6    +5'2           5      501'4          31         159
JLY19     506'2     508'4B    505'2A    508'4B    509'0    +5'6          35      503'2          35         808
SEP19      ----      ----      ----      ----     517'6    +5'2           9      512'4                      51
DEC19      ----      ----      ----      ----     534'2    +5'2          11      529'0           2          40
MAR20      ----      ----      ----      ----     540'6    +8'4           8      532'2                      12
MAY20      ----      ----      ----      ----     540'6    +8'6                  532'0
3350       ----      ----      ----      ----     116'2    +3'4                  112'6
3400       ----      ----      ----      ----     111'2    +3'4                  107'6
3450       ----      ----      ----      ----     106'2    +3'4                  102'6
3500       ----      ----      ----      ----     101'2    +3'4                   97'6
3550       ----      ----      ----      ----      96'2    +3'4                   92'6
3600       ----      ----      ----      ----      91'2    +3'4                   87'6
3650       ----      ----      ----      ----      86'2    +3'4                   82'6
3700       ----      ----      ----      ----      81'2    +3'4                   77'6
3750       ----      ----      ----      ----      76'2    +3'4                   72'6
3800       ----      ----      ----      ----      71'3    +3'4                   67'7
3850       ----      ----      ----      ----      66'4    +3'4                   63'0
3900       ----      ----      ----      ----      61'6    +3'4                   58'2
3950       ----      ----      ----      ----      57'0    +3'3                   53'5
4000       ----      ----      ----      ----      52'4    +3'2                   49'2
4050       ----      ----      ----      ----      48'0    +3'1                   44'7
4100       ----      ----      ----      ----      43'6    +3'0                   40'6
4150       ----      ----      ----      ----      39'6    +2'7                   36'7
4200       ----      ----      ----      ----      35'7    +2'6                   33'1
4250       ----      ----      ----      ----      32'2    +2'5                   29'5
4300       ----      ----      ----      ----      28'7    +2'4                   26'3
4350       ----      ----      ----      ----      25'5    +2'2                   23'3
4400       ----      ----      ----      ----      22'6    +2'0                   20'6
4450       ----      ----      ----      ----      20'1    +1'7                   18'2
4500       ----      ----      ----      ----      17'5    +1'5                   16'0
4550       ----      ----      ----      ----      15'4    +1'4                   14'0
4600       ----      ----      ----      ----      13'5    +1'3                   12'2
4650       ----      ----      ----      ----      12'0    +1'2                   10'6                       2
4700       ----      ----      ----      ----      10'5    +1'2                    9'3
4750       ----      ----      ----      ----       9'3    +1'1                    8'2
4800       ----      ----      ----      ----       8'2     +'7                    7'3
4850       ----      ----      ----      ----       7'3     +'7                    6'4
4900       ----      ----      ----      ----       6'4     +'6                    5'6
4950       ----      ----      ----      ----       5'6     +'5                    5'1
5000       ----      ----      ----      ----       5'1     +'5                    4'4
5050       ----      ----      ----      ----       4'4     +'4                    4'0
5100       ----      ----      ----      ----       4'0     +'3                    3'5                       5
5150       ----      ----      ----      ----       3'4     +'2                    3'2
5200       ----      ----      ----      ----       3'1     +'2                    2'7
5250       ----      ----      ----      ----       2'7     +'3                    2'4
5300       ----      ----      ----      ----       2'4     +'2                    2'2                       1
5350       ----      ----      ----      ----       2'2     +'2                    2'0
5400       ----      ----      ----      ----       2'0     +'2                    1'6                       1
5450       ----      ----      ----      ----       1'7     +'2                    1'5
5500       ----      ----      ----      ----       1'5     +'1                    1'4                       4
5550       ----      ----      ----      ----       1'4     +'2                    1'2
5600       ----      ----      ----      ----       1'3     +'2                    1'1
5650       ----      ----      ----      ----       1'2     +'2                    1'0
5700       ----      ----      ----      ----       1'1     +'1                    1'0
5750       ----      ----      ----      ----       1'0     +'1                     '7
5800       ----      ----      ----      ----        '7     +'1                     '6
5850       ----      ----      ----      ----        '6    UNCH                     '6
5900       ----      ----      ----      ----        '6     +'1                     '5
5950       ----      ----      ----      ----        '5    UNCH                     '5
6000       ----      ----      ----      ----        '5     +'1                     '4                       4
6050       ----      ----      ----      ----        '4    UNCH                     '4
6100       ----      ----      ----      ----        '4    UNCH                     '4
6150       ----      ----      ----      ----        '3    UNCH                     '3
6200       ----      ----      ----      ----        '3    UNCH                     '3
6250       ----      ----      ----      ----        '3    UNCH                     '3
6300       ----      ----      ----      ----        '2    UNCH                     '2
6350       ----      ----      ----      ----        '2    UNCH                     '2
6400       ----      ----      ----      ----        '2    UNCH                     '2
6450       ----      ----      ----      ----        '2    UNCH                     '2
6500       ----      ----      ----      ----        '2    UNCH                     '2
6550       ----      ----      ----      ----        '2    UNCH                     '2
6600       ----      ----      ----      ----        '1     -'1                     '2
6650       ----      ----      ----      ----        '1    UNCH                     '1
6700       ----      ----      ----      ----        '1    UNCH                     '1
6750       ----      ----      ----      ----        '1    UNCH                     '1
6800       ----      ----      ----      ----        '1    UNCH                     '1
6850       ----      ----      ----      ----        '1    UNCH                     '1
6900       ----      ----      ----      ----        '1    UNCH                     '1
6950       ----      ----      ----      ----        '1    UNCH                     '1
7000       ----      ----      ----      ----        '1    UNCH                     '1
7050       ----      ----      ----      ----        '1    UNCH                     '1
7100       ----      ----      ----      ----        '1    UNCH                     '1
7150       ----      ----      ----      ----        '1    UNCH                     '1
7200       ----      ----      ----      ----        '1    UNCH                     '1
7250       ----      ----      ----      ----        '1    UNCH                     '1
7300       ----      ----      ----      ----        '1    UNCH                     '1
7350       ----      ----      ----      ----        '1    UNCH                     '1
7400       ----      ----      ----      ----        '1    UNCH                     '1
7450       ----      ----      ----      ----        '1    UNCH                     '1
7500       ----      ----      ----      ----        '1    UNCH                     '1
7550       ----      ----      ----      ----        '1    UNCH                     '1

WDF MAR18 Short-Dated New Crop Wheat Option PUT
3300       ----      ----      ----      ----        '1    UNCH                     '1
3350       ----      ----      ----      ----        '1    UNCH                     '1
3400       ----      ----      ----      ----        '1    UNCH                     '1
3450       ----      ----      ----      ----        '1    UNCH                     '1
3500       ----      ----      ----      ----        '1    UNCH                     '1
3550       ----      ----      ----      ----        '1    UNCH                     '1
3600       ----      ----      ----      ----        '1    UNCH                     '1
3650       ----      ----      ----      ----        '1    UNCH                     '1
3700       ----      ----      ----      ----        '1    UNCH                     '1
3750       ----      ----      ----      ----        '1    UNCH                     '1
3800       ----      ----      ----      ----        '1    UNCH                     '1
3850       ----      ----      ----      ----        '1    UNCH                     '1
3900       ----      ----      ----      ----        '1    UNCH                     '1
3950       ----      ----      ----      ----        '1    UNCH                     '1
4000       ----      ----      ----      ----        '1     -'1                     '2
4050       ----      ----      ----      ----        '2     -'1                     '3
4100       ----      ----      ----      ----        '3     -'2                     '5
4150       ----      ----        '7A     ----        '5     -'3                    1'0
4200       ----      ----       1'3A     ----       1'0     -'4                    1'4
4250       ----      ----      ----      ----       1'4     -'5                    2'1
4300       ----      ----      ----      ----       2'2     -'7                    3'1
4350       ----      ----       4'2A     ----       3'3    -1'0                    4'3
4400       ----      ----       5'5A     ----       4'7    -1'2                    6'1                       5
4450       ----      ----       7'5A     ----       6'6    -1'5                    8'3
4500       ----      ----      10'7A     ----       9'2    -1'7                   11'1
4550       ----      ----      ----      ----      12'2    -2'1                   14'3
4600       ----      ----      ----      ----      15'5    -2'3                   18'0
4650       ----      ----      ----      ----      19'2    -2'4                   21'6
4700       ----      ----      ----      ----      23'0    -2'6                   25'6
4750       ----      ----      ----      ----      27'0    -2'7                   29'7
4800       ----      ----      ----      ----      31'3    -3'0                   34'3
4850       ----      ----      ----      ----      35'7    -3'0                   38'7
4900       ----      ----      ----      ----      40'3    -3'2                   43'5
4950       ----      ----      ----      ----      45'1    -3'1                   48'2
5000       ----      ----      ----      ----      49'6    -3'3                   53'1
5050       ----      ----      ----      ----      54'5    -3'2                   57'7
5100       ----      ----      ----      ----      59'3    -3'3                   62'6
5150       ----      ----      ----      ----      64'2    -3'3                   67'5
5200       ----      ----      ----      ----      69'1    -3'3                   72'4                       1
5250       ----      ----      ----      ----      74'0    -3'3                   77'3                       2
5300       ----      ----      ----      ----      79'0    -3'3                   82'3                       5
5350       ----      ----      ----      ----      83'7    -3'4                   87'3
5400       ----      ----      ----      ----      88'7    -3'3                   92'2
5450       ----      ----      ----      ----      93'7    -3'3                   97'2
5500       ----      ----      ----      ----      98'6    -3'4                  102'2                       1
5550       ----      ----      ----      ----     103'6    -3'4                  107'2
5600       ----      ----      ----      ----     108'6    -3'4                  112'2
5650       ----      ----      ----      ----     113'6    -3'4                  117'2
5700       ----      ----      ----      ----     118'6    -3'4                  122'2
5750       ----      ----      ----      ----     123'6    -3'4                  127'2
5800       ----      ----      ----      ----     128'6    -3'4                  132'2
5850       ----      ----      ----      ----     133'6    -3'4                  137'2
5900       ----      ----      ----      ----     138'6    -3'4                  142'2
5950       ----      ----      ----      ----     143'6    -3'4                  147'2
6000       ----      ----      ----      ----     148'6    -3'4                  152'2
6050       ----      ----      ----      ----     153'6    -3'4                  157'2
6100       ----      ----      ----      ----     158'6    -3'4                  162'2
6150       ----      ----      ----      ----     163'6    -3'4                  167'2
6200       ----      ----      ----      ----     168'6    -3'4                  172'2
6250       ----      ----      ----      ----     173'6    -3'4                  177'2
6300       ----      ----      ----      ----     178'6    -3'4                  182'2
6350       ----      ----      ----      ----     183'6    -3'4                  187'2
6400       ----      ----      ----      ----     188'6    -3'4                  192'2
6450       ----      ----      ----      ----     193'6    -3'4                  197'2
6500       ----      ----      ----      ----     198'6    -3'4                  202'2
6550       ----      ----      ----      ----     203'6    -3'4                  207'2
6600       ----      ----      ----      ----     208'6    -3'4                  212'2
6650       ----      ----      ----      ----     213'6    -3'4                  217'2
6700       ----      ----      ----      ----     218'6    -3'4                  222'2
6750       ----      ----      ----      ----     223'6    -3'4                  227'2
6800       ----      ----      ----      ----     228'6    -3'4                  232'2
6850       ----      ----      ----      ----     233'6    -3'4                  237'2
6900       ----      ----      ----      ----     238'6    -3'4                  242'2
6950       ----      ----      ----      ----     243'6    -3'4                  247'2
7000       ----      ----      ----      ----     248'6    -3'4                  252'2
7050       ----      ----      ----      ----     253'6    -3'4                  257'2
7100       ----      ----      ----      ----     258'6    -3'4                  262'2
7150       ----      ----      ----      ----     263'6    -3'4                  267'2
7200       ----      ----      ----      ----     268'6    -3'4                  272'2
7250       ----      ----      ----      ----     273'6    -3'4                  277'2
7300       ----      ----      ----      ----     278'6    -3'4                  282'2
7350       ----      ----      ----      ----     283'6    -3'4                  287'2
7400       ----      ----      ----      ----     288'6    -3'4                  292'2
7450       ----      ----      ----      ----     293'6    -3'4                  297'2
7500       ----      ----      ----      ----     298'6    -3'4                  302'2
7550       ----      ----      ----      ----     303'6    -3'4                  307'2
WDF MAY18 Short-Dated New Crop Wheat Option PUT
3300       ----      ----      ----      ----        '1    UNCH                     '1
3350       ----      ----      ----      ----        '1    UNCH                     '1
3400       ----      ----      ----      ----        '1    UNCH                     '1
3450       ----      ----      ----      ----        '1    UNCH                     '1
3500       ----      ----      ----      ----        '1    UNCH                     '1
3550       ----      ----      ----      ----        '1    UNCH                     '1
3600       ----      ----      ----      ----        '1    UNCH                     '1
3650       ----      ----      ----      ----        '1    UNCH                     '1
3700       ----      ----      ----      ----        '1    UNCH                     '1
3750       ----      ----      ----      ----        '1    UNCH                     '1
3800       ----      ----      ----      ----        '2    UNCH                     '2
3850       ----      ----      ----      ----        '3    UNCH                     '3
3900       ----      ----      ----      ----        '5     -'1                     '6
3950       ----      ----      ----      ----        '7     -'2                    1'1
4000       ----      ----      ----      ----       1'3     -'2                    1'5
4050       ----      ----      ----      ----       1'7     -'3                    2'2
4100       ----      ----      ----      ----       2'5     -'4                    3'1
4150       ----      ----       4'0A     ----       3'4     -'6                    4'2
4200       ----      ----       5'1A     ----       4'6     -'6                    5'4
4250       ----      ----       6'4A     ----       6'0    -1'0                    7'0
4300       ----      ----      ----      ----       7'5    -1'1                    8'6
4350       ----      ----      ----      ----       9'4    -1'2                   10'6
4400       ----      ----      12'7A     ----      11'4    -1'4                   13'0                       5
4450       ----      ----      ----      ----      13'7    -1'5                   15'4
4500       ----      ----      ----      ----      16'4    -1'6                   18'2
4550       ----      ----      ----      ----      19'2    -2'0                   21'2           8           8
4600       ----      ----      ----      ----      22'3    -2'1                   24'4
4650       ----      ----      ----      ----      25'6    -2'1                   27'7
4700       ----      ----      ----      ----      29'2    -2'3                   31'5
4750       ----      ----      ----      ----      33'0    -2'4                   35'4
4800       ----      ----      ----      ----      37'0    -2'4                   39'4
4850       ----      ----      ----      ----      41'0    -2'5                   43'5                       8
4900       ----      ----      ----      ----      45'1    -2'6                   47'7
4950       ----      ----      ----      ----      49'3    -2'7                   52'2
5000       ----      ----      ----      ----      53'6    -2'7                   56'5
5050       ----      ----      ----      ----      58'1    -3'0                   61'1
5100       ----      ----      ----      ----      62'5    -3'0                   65'5
5150       ----      ----      ----      ----      67'1    -3'1                   70'2
5200       ----      ----      ----      ----      71'6    -3'1                   74'7
5250       ----      ----      ----      ----      76'3    -3'2                   79'5
5300       ----      ----      ----      ----      81'0    -3'2                   84'2
5350       ----      ----      ----      ----      85'6    -3'2                   89'0
5400       ----      ----      ----      ----      90'4    -3'3                   93'7
5450       ----      ----      ----      ----      95'3    -3'2                   98'5
5500       ----      ----      ----      ----     100'1    -3'3                  103'4
5550       ----      ----      ----      ----     105'0    -3'2                  108'2
5600       ----      ----      ----      ----     109'7    -3'2                  113'1
5650       ----      ----      ----      ----     114'6    -3'2                  118'0
5700       ----      ----      ----      ----     119'5    -3'2                  122'7
5750       ----      ----      ----      ----     124'4    -3'3                  127'7
5800       ----      ----      ----      ----     129'3    -3'3                  132'6
5850       ----      ----      ----      ----     134'2    -3'3                  137'5
5900       ----      ----      ----      ----     139'2    -3'3                  142'5
5950       ----      ----      ----      ----     144'1    -3'3                  147'4
6000       ----      ----      ----      ----     149'0    -3'4                  152'4
6050       ----      ----      ----      ----     154'0    -3'4                  157'4
6100       ----      ----      ----      ----     159'0    -3'3                  162'3
6150       ----      ----      ----      ----     163'7    -3'4                  167'3
6200       ----      ----      ----      ----     168'7    -3'4                  172'3
6250       ----      ----      ----      ----     173'7    -3'4                  177'3
6300       ----      ----      ----      ----     178'7    -3'3                  182'2
6350       ----      ----      ----      ----     183'6    -3'4                  187'2
6400       ----      ----      ----      ----     188'6    -3'4                  192'2
6450       ----      ----      ----      ----     193'6    -3'4                  197'2
6500       ----      ----      ----      ----     198'6    -3'4                  202'2
6550       ----      ----      ----      ----     203'6    -3'4                  207'2
6600       ----      ----      ----      ----     208'6    -3'4                  212'2
6650       ----      ----      ----      ----     213'6    -3'4                  217'2
6700       ----      ----      ----      ----     218'6    -3'4                  222'2
6750       ----      ----      ----      ----     223'6    -3'4                  227'2
6800       ----      ----      ----      ----     228'6    -3'4                  232'2
6850       ----      ----      ----      ----     233'6    -3'4                  237'2
6900       ----      ----      ----      ----     238'6    -3'4                  242'2
6950       ----      ----      ----      ----     243'6    -3'4                  247'2
7000       ----      ----      ----      ----     248'6    -3'4                  252'2
7050       ----      ----      ----      ----     253'6    -3'4                  257'2
7100       ----      ----      ----      ----     258'6    -3'4                  262'2
7150       ----      ----      ----      ----     263'6    -3'4                  267'2
7200       ----      ----      ----      ----     268'6    -3'4                  272'2
7250       ----      ----      ----      ----     273'6    -3'4                  277'2
7300       ----      ----      ----      ----     278'6    -3'4                  282'2
7350       ----      ----      ----      ----     283'6    -3'4                  287'2
7400       ----      ----      ----      ----     288'6    -3'4                  292'2
7450       ----      ----      ----      ----     293'6    -3'4                  297'2
7500       ----      ----      ----      ----     298'6    -3'4                  302'2
7550       ----      ----      ----      ----     303'6    -3'4                  307'2

WZ FEB18 Wheat Options CALL
3100       ----      ----      ----      ----     115'2    +3'6                  111'4
3150       ----      ----      ----      ----     110'2    +3'6                  106'4
3200       ----      ----      ----      ----     105'2    +3'6                  101'4
3250       ----      ----      ----      ----     100'2    +3'6                   96'4
3300       ----      ----      ----      ----      95'2    +3'6                   91'4
3350       ----      ----      ----      ----      90'2    +3'6                   86'4
3400       ----      ----      ----      ----      85'2    +3'6                   81'4
3450       ----      ----      ----      ----      80'2    +3'6                   76'4
3500       ----      ----      ----      ----      75'2    +3'6                   71'4
3550       ----      ----      ----      ----      70'2    +3'6                   66'4
3600       ----      ----      ----      ----      65'2    +3'6                   61'4
3650       ----      ----      ----      ----      60'2    +3'6                   56'4
3700       ----      ----      ----      ----      55'2    +3'6                   51'4
3750       ----      ----      ----      ----      50'2    +3'6                   46'4
3800       ----      42'5B     ----      ----      45'2    +3'6                   41'4
3850       ----      39'4B     ----      ----      40'2    +3'6                   36'4
3900       ----      34'4B     ----      ----      35'2    +3'6                   31'4
3950       ----      30'4B     ----      ----      30'2    +3'6                   26'4
4000       24'2      25'5B     23'7A     ----      25'2    +3'6           5       21'4                      11
4050       19'0      20'5B     17'3A     ----      20'2    +3'4           2       16'6                      38
4100       15'4      15'7B     14'2A     ----      15'4    +3'2          10       12'2          66         199
4150        9'3      11'3       8'6A     ----      11'1    +2'7          29        8'2         190         603
4200        6'0       7'5B      5'4A     ----       7'2    +2'0          39        5'2         460        1854
4250        3'3       4'6       3'2A     ----       4'3    +1'3         385        3'0         309        1405
4300        1'6       2'6       1'6      ----       2'4     +'6         398        1'6         758        3185
4350        1'2       1'5       1'0      ----       1'2     +'2         522        1'0         932        3020
4400         '6        '7        '4      ----        '5    UNCH         170         '5         425        3875
4450         '2        '4B       '2      ----        '3    UNCH           7         '3          63        1465
4500         '2        '2        '2      ----        '1     -'1         125         '2           5       10259
4550         '1        '1        '1      ----        '1    UNCH           8         '1          25        1227
4600         '1        '1        '1      ----        '1    UNCH          50         '1           3        1935
4650       ----      ----      ----      ----        '1    UNCH                     '1           3         716
4700       ----      ----      ----      ----        '1    UNCH                     '1                     989
4750       ----      ----      ----      ----        '1    UNCH                     '1                     488
4800       ----      ----      ----      ----        '1    UNCH                     '1                     586
4850       ----      ----      ----      ----        '1    UNCH                     '1                     337
4900       ----      ----      ----      ----        '1    UNCH                     '1           1         281
4950       ----      ----      ----      ----        '1    UNCH                     '1                     392
5000       ----      ----      ----      ----        '1    UNCH                     '1                    1654
5050       ----      ----      ----      ----        '1    UNCH                     '1                     490
5100       ----      ----      ----      ----        '1    UNCH                     '1                     134
5150       ----      ----      ----      ----        '1    UNCH                     '1                     119
5200       ----      ----      ----      ----        '1    UNCH                     '1                    1284
5250       ----      ----      ----      ----        '1    UNCH                     '1                     299
5300       ----      ----      ----      ----        '1    UNCH                     '1                      32
5350       ----      ----      ----      ----        '1    UNCH                     '1                    2000
5400       ----      ----      ----      ----        '1    UNCH                     '1                      13
5450       ----      ----      ----      ----        '1    UNCH                     '1                      13
5500       ----      ----      ----      ----        '1    UNCH                     '1                      45
5550       ----      ----      ----      ----        '1    UNCH                     '1                     132
5600       ----      ----      ----      ----        '1    UNCH                     '1                     386
WZ MAR18 Wheat Options CALL
1000       ----      ----      ----      ----     325'2    +3'6                  321'4
2100       ----      ----      ----      ----     215'2    +3'6                  211'4
2200       ----      ----      ----      ----     205'2    +3'6                  201'4
2300       ----      ----      ----      ----     195'2    +3'6                  191'4
2400       ----      ----      ----      ----     185'2    +3'6                  181'4
2500       ----      ----      ----      ----     175'2    +3'6                  171'4
2600       ----      ----      ----      ----     165'2    +3'6                  161'4
2700       ----      ----      ----      ----     155'2    +3'6                  151'4
2800       ----      ----      ----      ----     145'2    +3'6                  141'4
2900       ----      ----      ----      ----     135'2    +3'6                  131'4
3000       ----      ----      ----      ----     125'2    +3'6                  121'4
3100       ----      ----      ----      ----     115'2    +3'6                  111'4
3150       ----      ----      ----      ----     110'2    +3'6                  106'4
3200       ----      ----      ----      ----     105'2    +3'6                  101'4
3250       ----      ----      ----      ----     100'2    +3'6                   96'4
3300       ----      ----      ----      ----      95'2    +3'6                   91'4
3350       ----      ----      ----      ----      90'2    +3'6                   86'4
3400       ----      ----      ----      ----      85'2    +3'6                   81'4                     100
3450       ----      ----      ----      ----      80'2    +3'6                   76'4
3500       ----      74'1B     ----      ----      75'2    +3'6                   71'4
3550       ----      69'1B     ----      ----      70'2    +3'6                   66'4
3600       ----      64'3B     ----      ----      65'2    +3'6                   61'4
3650       ----      59'3B     ----      ----      60'2    +3'6                   56'4
3700       ----      54'3B     ----      ----      55'2    +3'5                   51'5
3750       ----      50'5B     ----      ----      50'3    +3'6                   46'5
3800       ----      45'5B     ----      ----      45'3    +3'5                   41'6
3850       ----      40'5B     ----      ----      40'3    +3'5                   36'6
3900       ----      35'6B     ----      ----      35'4    +3'4                   32'0                      40
3950       30'0      31'0B     29'6A     ----      30'6    +3'4          11       27'2
4000       ----      26'3B     ----      ----      26'0    +3'2                   22'6          22          57
4050       20'4      22'0B     19'2A     ----      21'5    +3'1           1       18'4           1          16
4100       16'6      17'7B     16'4A     ----      17'4    +2'5          95       14'7           1         327
4150       14'0      14'3B     12'2A     ----      14'0    +2'2          50       11'6         189         990
4200       10'0      11'3       9'5      ----      11'0    +1'7         398        9'1         551        3201
4250        8'6       8'7       7'4      ----       8'4    +1'4         539        7'0         402        1612
4300        6'0       7'0       5'6       6'1       6'4    +1'1         709        5'3        2133        6865
4350        5'0       5'3B      4'3      ----       5'0     +'7         236        4'1         392        1672
4400        3'7       4'2       3'3      ----       3'6     +'5         904        3'1        1427       13127
4450        2'5       3'1       2'5      ----       2'6     +'3          57        2'3                    1268
4500        2'0       2'4       1'7      ----       2'1     +'2        1929        1'7        1367       10367
4550        1'5       1'7B      1'4      ----       1'5     +'2         235        1'3          12        1716
4600        1'2       1'4       1'1      ----       1'2     +'1         545        1'1         851        5940
4650        1'0       1'1        '7      ----       1'0     +'1         224         '7         417        1181
4700         '7       1'0        '6      ----        '6    UNCH         552         '6         489        5309
4750         '6        '6        '5      ----        '5    UNCH           7         '5                     213
