W Wheat Futures
SEP19     507'2     514'0     502'0     506'2     505'4    -2'0       38410      507'4       51260      174525
DEC19     519'2     525'0     513'6     516'6     517'2    -2'0       13250      519'2       19187      112001
MAR20     531'4     537'0     526'4     528'4B    529'6    -1'6        4676      531'4        6651       43875
MAY20     535'2     542'2     532'4     534'0A    535'2    -2'2        1894      537'4        1665       10702
JLY20     537'4     542'2B    533'0     533'4     535'2    -3'0        1307      538'2        1156       21251
SEP20     543'2     548'6B    539'6     539'6     541'6    -3'4         138      545'2         297        2689
DEC20     554'2     559'2B    551'0     551'0     553'2    -2'4         126      555'6         291        6233
MAR21     566'6     566'6     560'6A    560'6A    561'0    -3'0          13      564'0                    1075
MAY21     565'0     566'2B    563'2A    563'2A    562'4    -3'0          10      565'4                     144
JLY21     551'6     551'6     549'4     549'4     549'4    -3'2           4      552'6                     122
SEP21      ----      ----      ----      ----     549'4    -3'2                  552'6
5550       ----      ----      ----      ----      25'4    -1'4                   27'0
5600       ----      ----      ----      ----      23'7    -1'2                   25'1
5650       ----      ----      ----      ----      22'2    -1'2                   23'4
5700       ----      ----      ----      ----      20'6    -1'1                   21'7
5750       ----      ----      ----      ----      19'2    -1'1                   20'3
5800       ----      ----      ----      ----      18'0    -1'0                   19'0
5850       ----      ----      ----      ----      16'6    -1'0                   17'6
5900       ----      ----      ----      ----      15'4    -1'0                   16'4
5950       ----      ----      ----      ----      14'3     -'7                   15'2
6000       ----      ----      ----      ----      13'3     -'7                   14'2
6050       ----      ----      ----      ----      12'3     -'7                   13'2
6100       ----      ----      ----      ----      11'4     -'6                   12'2
6150       ----      ----      ----      ----      10'5     -'6                   11'3
6200       ----      ----      ----      ----       9'7     -'5                   10'4
6250       ----      ----      ----      ----       9'1     -'5                    9'6
6300       ----      ----      ----      ----       8'3     -'5                    9'0
6350       ----      ----      ----      ----       7'6     -'5                    8'3
6400       ----      ----      ----      ----       7'1     -'5                    7'6
6450       ----      ----      ----      ----       6'5     -'4                    7'1
6500       ----      ----      ----      ----       6'1     -'4                    6'5
6550       ----      ----      ----      ----       5'5     -'4                    6'1
6600       ----      ----      ----      ----       5'2     -'3                    5'5
6650       ----      ----      ----      ----       4'6     -'4                    5'2
6700       ----      ----      ----      ----       4'3     -'4                    4'7
6750       ----      ----      ----      ----       4'1     -'3                    4'4
6800       ----      ----      ----      ----       3'6     -'3                    4'1
6850       ----      ----      ----      ----       3'4     -'3                    3'7
6900       ----      ----      ----      ----       3'2     -'2                    3'4
6950       ----      ----      ----      ----       3'0     -'2                    3'2
7000       ----      ----      ----      ----       2'6     -'2                    3'0
7050       ----      ----      ----      ----       2'4     -'2                    2'6
7100       ----      ----      ----      ----       2'2     -'3                    2'5
7150       ----      ----      ----      ----       2'1     -'2                    2'3
7200       ----      ----      ----      ----       2'0     -'2                    2'2
7250       ----      ----      ----      ----       1'6     -'2                    2'0
7300       ----      ----      ----      ----       1'5     -'2                    1'7
7350       ----      ----      ----      ----       1'4     -'2                    1'6
7400       ----      ----      ----      ----       1'3     -'2                    1'5
7450       ----      ----      ----      ----       1'2     -'2                    1'4
7500       ----      ----      ----      ----       1'2     -'1                    1'3

WDF MAY20 Short-Dated New Crop Wheat Option PUT
3600       ----      ----      ----      ----        '1    UNCH                     '1
3650       ----      ----      ----      ----        '1    UNCH                     '1
3700       ----      ----      ----      ----        '1    UNCH                     '1
3750       ----      ----      ----      ----        '1    UNCH                     '1
3800       ----      ----      ----      ----        '1    UNCH                     '1
3850       ----      ----      ----      ----        '1    UNCH                     '1
3900       ----      ----      ----      ----        '1    UNCH                     '1
3950       ----      ----      ----      ----        '1    UNCH                     '1
4000       ----      ----      ----      ----        '2    UNCH                     '2
4050       ----      ----      ----      ----        '3    UNCH                     '3
4100       ----      ----      ----      ----        '4    UNCH                     '4
4150       ----      ----      ----      ----        '5    UNCH                     '5
4200       ----      ----      ----      ----        '7    UNCH                     '7
4250       ----      ----      ----      ----       1'1    UNCH                    1'1
4300       ----      ----      ----      ----       1'4     +'1                    1'3
4350       ----      ----      ----      ----       1'7     +'1                    1'6
4400       ----      ----      ----      ----       2'3     +'1                    2'2
4450       ----      ----      ----      ----       3'0     +'1                    2'7
4500       ----      ----      ----      ----       3'5     +'1                    3'4
4550       ----      ----      ----      ----       4'4     +'2                    4'2
4600       ----      ----      ----      ----       5'3     +'3                    5'0
4650       ----      ----      ----      ----       6'3     +'3                    6'0
4700       ----      ----      ----      ----       7'4     +'4                    7'0
4750       ----      ----      ----      ----       8'6     +'4                    8'2
4800       ----      ----      ----      ----      10'1     +'5                    9'4
4850       ----      ----      ----      ----      11'5     +'5                   11'0
4900       ----      ----      ----      ----      13'2     +'6                   12'4
4950       ----      ----      ----      ----      15'0     +'6                   14'2
5000       ----      ----      ----      ----      16'7     +'7                   16'0
5050       ----      ----      ----      ----      18'6     +'7                   17'7
5100       ----      ----      ----      ----      20'7     +'7                   20'0
5150       ----      ----      ----      ----      23'1    +1'0                   22'1
5200       ----      ----      ----      ----      25'4    +1'1                   24'3
5250       ----      ----      ----      ----      27'7    +1'1                   26'6
5300       ----      ----      ----      ----      30'4    +1'2                   29'2
5350       ----      ----      ----      ----      33'1    +1'2                   31'7
5400       ----      ----      ----      ----      36'0    +1'3                   34'5
5450       ----      ----      ----      ----      38'7    +1'3                   37'4
5500       ----      ----      ----      ----      41'7    +1'3                   40'4
5550       ----      ----      ----      ----      45'1    +1'5                   43'4
5600       ----      ----      ----      ----      48'3    +1'5                   46'6
5650       ----      ----      ----      ----      51'5    +1'5                   50'0
5700       ----      ----      ----      ----      55'1    +1'6                   53'3
5750       ----      ----      ----      ----      58'5    +1'7                   56'6
5800       ----      ----      ----      ----      62'2    +1'7                   60'3
5850       ----      ----      ----      ----      65'7    +1'7                   64'0
5900       ----      ----      ----      ----      69'6    +2'0                   67'6
5950       ----      ----      ----      ----      73'4    +2'0                   71'4
6000       ----      ----      ----      ----      77'4    +2'1                   75'3
6050       ----      ----      ----      ----      81'4    +2'2                   79'2
6100       ----      ----      ----      ----      85'4    +2'2                   83'2
6150       ----      ----      ----      ----      89'5    +2'2                   87'3
6200       ----      ----      ----      ----      93'6    +2'2                   91'4
6250       ----      ----      ----      ----      98'0    +2'3                   95'5
6300       ----      ----      ----      ----     102'2    +2'3                   99'7
6350       ----      ----      ----      ----     106'5    +2'3                  104'2
6400       ----      ----      ----      ----     111'0    +2'4                  108'4
6450       ----      ----      ----      ----     115'3    +2'3                  113'0
6500       ----      ----      ----      ----     119'7    +2'4                  117'3
6550       ----      ----      ----      ----     124'3    +2'4                  121'7
6600       ----      ----      ----      ----     128'7    +2'4                  126'3
6650       ----      ----      ----      ----     133'4    +2'5                  130'7
6700       ----      ----      ----      ----     138'0    +2'4                  135'4
6750       ----      ----      ----      ----     142'5    +2'4                  140'1
6800       ----      ----      ----      ----     147'3    +2'5                  144'6
6850       ----      ----      ----      ----     152'0    +2'5                  149'3
6900       ----      ----      ----      ----     156'6    +2'5                  154'1
6950       ----      ----      ----      ----     161'4    +2'5                  158'7
7000       ----      ----      ----      ----     166'2    +2'5                  163'5
7050       ----      ----      ----      ----     171'0    +2'5                  168'3
7100       ----      ----      ----      ----     175'7    +2'6                  173'1
7150       ----      ----      ----      ----     180'5    +2'6                  177'7
7200       ----      ----      ----      ----     185'4    +2'6                  182'6
7250       ----      ----      ----      ----     190'3    +2'6                  187'5
7300       ----      ----      ----      ----     195'2    +2'6                  192'4
7350       ----      ----      ----      ----     200'1    +2'6                  197'3
7400       ----      ----      ----      ----     205'0    +2'6                  202'2
7450       ----      ----      ----      ----     210'0    +2'7                  207'1
7500       ----      ----      ----      ----     214'7    +2'7                  212'0

WZ AUG19 Wheat Options CALL
3300       ----     182'4B    173'0A     ----     175'5    -2'0                  177'5
3350       ----     177'4B    168'0A     ----     170'5    -2'0                  172'5
3400       ----     172'4B    163'0A     ----     165'5    -2'0                  167'5
3450       ----     167'4B    158'0A     ----     160'5    -2'0                  162'5
3500       ----     162'4B    153'0A     ----     155'5    -2'0                  157'5
3550       ----     157'4B    148'0A     ----     150'5    -2'0                  152'5
3600       ----     152'4B    143'0A     ----     145'5    -2'0                  147'5
3650       ----     147'4B    138'0A     ----     140'5    -2'0                  142'5
3700       ----     142'4B    133'0A     ----     135'5    -2'0                  137'5
3750       ----     137'4B    128'0A     ----     130'5    -2'0                  132'5
3800       ----     132'4B    123'0A     ----     125'5    -2'0                  127'5
3850       ----     127'4B    118'0A     ----     120'5    -2'0                  122'5                       2
3900       ----     122'4B    113'0A     ----     115'5    -2'0                  117'5                       2
3950       ----     117'4B    108'0A     ----     110'5    -2'0                  112'5                       2
4000       ----     112'4B    103'0A     ----     105'5    -2'0                  107'5
4050       ----     107'4B     98'0A     ----     100'5    -2'0                  102'5
4100       ----     102'4B     93'0A     ----      95'5    -2'0                   97'5
4150       ----      97'4B     88'0A     ----      90'5    -2'0                   92'5
4200       ----      92'4B     83'0A     ----      85'5    -2'0                   87'5                      12
4250       ----      87'4B     78'0A     ----      80'5    -2'0                   82'5                       1
4300       ----      82'4B     73'0A     ----      75'5    -2'0                   77'5                      36
4350       ----      77'4B     68'0A     ----      70'5    -2'0                   72'5
4400       ----      72'6B     63'0A     ----      65'5    -2'0           7       67'5                     108
4450       ----      67'6B     58'0A     ----      60'5    -2'0                   62'5                      61
4500       ----      62'6B     53'0A     ----      55'5    -2'0                   57'5           4         486
4550       ----      57'7B     48'1A     ----      50'5    -2'0                   52'5                      25
4600       ----      52'7B     43'1A     ----      45'5    -2'0                   47'5           1         107
4650       ----      47'7B     38'2A     ----      40'5    -2'1                   42'6           3         186
4700       ----      43'0B     33'4A     ----      35'6    -2'1                   37'7                     285
4750       ----      38'1B     28'7A     ----      31'0    -2'1                   33'1                     341
4800       24'4      33'3B     24'4      ----      26'3    -2'1           2       28'4                     387
4850       ----      28'5B     20'2A     ----      21'7    -2'1                   24'0                     294
4900       ----      24'2B     16'2A     ----      17'6    -2'1                   19'7                     600
4950       16'5      20'3B     12'6A     ----      14'1    -1'7           2       16'0          23         155
5000       10'0      16'4B      9'6A     ----      10'7    -1'7         201       12'6         185        1056
5050        9'4      13'2B      7'2A     ----       8'1    -1'5          21        9'6        1050        1216
5100        6'7      10'2B      5'2A     ----       5'7    -1'4         278        7'3         247        1941
5150        4'0       7'6B      3'4      ----       4'0    -1'3          54        5'3        1171        1847
5200        5'3       5'6       2'4A     ----       2'6    -1'1        2936        3'7        3127        3962
5250        1'7       4'1B      1'6A     ----       1'6    -1'0         270        2'6         543        1307
5300        1'2       2'7B      1'1A     ----       1'1     -'6         848        1'7         370        2345
5350        1'1       2'0        '6A     ----        '6     -'5          54        1'3          87        2656
5400         '6       1'3        '4A     ----        '4     -'4         431        1'0         876        1625
5450         '6        '7B       '3      ----        '3     -'2         151         '5          47        1278
5500         '3        '5        '3      ----        '2     -'2           7         '4         241        2647
5550         '2        '4B       '2      ----        '2     -'1          49         '3          11        1805
5600       ----      ----      ----      ----        '1     -'1                     '2           2        1373
5650         '2        '2        '1      ----        '1     -'1          65         '2          17         319
5700         '1        '1        '1        '1        '1    UNCH        1438         '1         226        2280
5750       ----      ----      ----      ----        '1    UNCH                     '1                    1386
5800       ----      ----      ----      ----        '1    UNCH                     '1                    2052
5850       ----      ----      ----      ----        '1    UNCH                     '1           1         486
5900       ----      ----      ----      ----        '1    UNCH                     '1                    1125
5950       ----      ----      ----      ----        '1    UNCH                     '1           1        1015
6000       ----      ----      ----      ----        '1    UNCH                     '1                    3878
6050       ----      ----      ----      ----        '1    UNCH                     '1                     717
6100       ----      ----      ----      ----        '1    UNCH                     '1                     602
6150       ----      ----      ----      ----        '1    UNCH                     '1                     617
6200       ----      ----      ----      ----        '1    UNCH                     '1                     434
6250       ----      ----      ----      ----        '1    UNCH                     '1                     698
6300       ----      ----      ----      ----        '1    UNCH                     '1                     756
6350       ----      ----      ----      ----        '1    UNCH                     '1                     367
6400       ----      ----      ----      ----        '1    UNCH                     '1                     113
6450       ----      ----      ----      ----        '1    UNCH                     '1                     238
6500       ----      ----      ----      ----        '1    UNCH                     '1                     606
6550       ----      ----      ----      ----        '1    UNCH                     '1                      58
6600       ----      ----      ----      ----        '1    UNCH                     '1                      19
6650       ----      ----      ----      ----        '1    UNCH                     '1                      34
6700       ----      ----      ----      ----        '1    UNCH                     '1                     106
6750       ----      ----      ----      ----        '1    UNCH                     '1                     162
6800       ----      ----      ----      ----        '1    UNCH                     '1                      26
WZ SEP19 Wheat Options CALL
2200       ----     292'4B    283'0A     ----     285'4    -2'0                  287'4
2300       ----     282'4B    273'0A     ----     275'4    -2'0                  277'4
2400       ----     272'4B    263'0A     ----     265'4    -2'0                  267'4
2500       ----     262'4B    253'0A     ----     255'4    -2'0                  257'4
2600       ----     252'4B    243'0A     ----     245'4    -2'0                  247'4
2700       ----     242'4B    233'0A     ----     235'4    -2'0                  237'4
2800       ----     232'4B    223'0A     ----     225'4    -2'0                  227'4
2900       ----     222'4B    213'0A     ----     215'4    -2'0                  217'4
3000       ----     212'4B    203'0A     ----     205'4    -2'0                  207'4
3100       ----     202'4B    193'0A     ----     195'4    -2'0                  197'4
3200       ----     192'4B    183'0A     ----     185'4    -2'0                  187'4
3300       ----     182'4B    173'0A     ----     175'4    -2'0                  177'4
3400       ----     172'4B    163'0A     ----     165'4    -2'0                  167'4
3500       ----     162'4B    153'0A     ----     155'4    -2'0                  157'4
3600       ----     152'4B    143'0A     ----     145'4    -2'0                  147'4
3700       ----     142'4B    133'0A     ----     135'4    -2'0                  137'4                     159
3750       ----     137'4B    128'0A     ----     130'4    -2'0                  132'4
3800       ----     132'4B    123'0A     ----     125'4    -2'0                  127'4
3850       ----     127'4B    118'0A     ----     120'4    -2'0                  122'4
3900       ----     122'4B    113'0A     ----     115'4    -2'0                  117'4
3950       ----     117'4B    108'0A     ----     110'4    -2'0                  112'4
4000       ----     112'4B    103'0A     ----     105'4    -2'0                  107'4                     620
4050       ----     107'4B     98'0A     ----     100'4    -2'0                  102'4           1           1
4100       ----     102'4B     93'0A     ----      95'5    -2'0                   97'5
4150       ----      97'7B     88'1A     ----      90'5    -2'0                   92'5
4200       ----      92'7B     83'2A     ----      85'6    -2'0                   87'6                      11
4250       ----      88'0B     78'3A     ----      80'7    -2'0                   82'7
4300       ----      83'1B     73'4A     ----      76'0    -2'0                   78'0                     260
4350       ----      78'2B     68'6A     ----      71'1    -2'0                   73'1
4400       ----      73'3B     64'0A     ----      66'3    -2'0           7       68'3                     873
4450       ----      68'5B     59'3A     ----      61'5    -2'0                   63'5
4500       ----      63'7B     54'6A     ----      57'0    -2'0                   59'0          21         731
4550       ----      59'2B     50'3A     ----      52'4    -2'0                   54'4                       2
4600       48'3      54'6B     46'0A     ----      48'2    -1'7          18       50'1                    1047
4650       ----      50'3B     41'7A     ----      44'0    -1'7                   45'7                       1
4700       ----      46'1B     38'0A     ----      40'0    -1'6                   41'6                     971
4750       ----      42'0B     34'2A     ----      36'1    -1'6                   37'7                       5
4800       ----      38'3B     30'6A     ----      32'5    -1'4                   34'1                    1361
4850       ----      34'6B     27'2A     ----      29'2    -1'3                   30'5                     141
4900       27'2      31'2B     24'3A     ----      26'1    -1'2           2       27'3           1        1519
4950       ----      28'2B     21'4A     ----      23'2    -1'1                   24'3                     126
5000       22'6      25'2B     19'0A     ----      20'5    -1'0          88       21'5         245        3400
5050       19'7      22'3B     16'5A     ----      18'1    -1'0          50       19'1         200         407
5100       14'6      19'7B     14'5A     ----      16'0     -'7        1582       16'7        1188        3803
5150       15'4      17'5B     13'0A     ----      14'0     -'7           3       14'7           2         694
5200       11'3      15'4B     11'3      12'2      12'2     -'6         104       13'0         407        3591
5250       ----      13'5B      9'7A     ----      10'6     -'5          53       11'3        1113        1537
5300        8'5      12'0B      8'5      ----       9'2     -'6          66       10'0         325        4146
5350       ----      10'4B      7'4A     ----       8'1     -'4                    8'5           5         749
5400       ----       9'1B      6'4A     ----       7'0     -'4          39        7'4          24        5078
5450        5'6       8'0B      5'5A     ----       6'0     -'5           6        6'5          42         597
5500        5'2       7'0B      4'7A     ----       5'2     -'4         368        5'6         307        5413
5550       ----       6'0B      4'2A     ----       4'4     -'4           2        5'0          49         592
5600        4'2       5'2B      3'5A     ----       3'7     -'3          23        4'2          21        2028
5650        3'6       4'5B      3'1A     ----       3'3     -'3          24        3'6           3         875
5700        3'6       4'0B      2'6A     ----       2'7     -'3          90        3'2          86        2481
5750        2'4       3'3B      2'3A     ----       2'4     -'2           6        2'6           7         543
5800        2'1       3'0B      2'0A     ----       2'1     -'2          16        2'3          39        2645
5850       ----       2'4B      1'6A     ----       1'7     -'1           1        2'0          28         175
5900        2'0       2'1B      1'4A     ----       1'5     -'1           5        1'6           3        4635
5950        1'7       1'7       1'3A     ----       1'3     -'1           1        1'4                     112
6000       ----       1'4B      1'1A     ----       1'1     -'1           5        1'2         507        5221
6050       ----       1'3B      1'0A     ----       1'0     -'1           1        1'1                     596
6100       ----       1'1B       '7A     ----        '7     -'1          50        1'0          50        1252
6150       ----       1'0B       '6A     ----        '6     -'1                     '7                     251
6200         '6        '6        '5      ----        '5     -'1           8         '6           9        4661
6250       ----      ----      ----      ----        '4     -'1                     '5                     150
6300       ----        '5B     ----      ----        '4    UNCH                     '4                    4022
6350       ----      ----      ----      ----        '3     -'1                     '4                      96
6400       ----      ----      ----      ----        '3    UNCH           3         '3           7         976
6450       ----      ----      ----      ----        '2     -'1                     '3           1          97
6500       ----      ----      ----      ----        '2    UNCH                     '2                    1152
6550       ----      ----      ----      ----        '2    UNCH                     '2                      92
6600       ----      ----      ----      ----        '2    UNCH                     '2                     382
6650       ----      ----      ----      ----        '1    UNCH                     '1                      30
6700       ----      ----      ----      ----        '1    UNCH                     '1                      61
6750       ----      ----      ----      ----        '1    UNCH                     '1                      15
6800       ----      ----      ----      ----        '1    UNCH                     '1                     202
6900       ----      ----      ----      ----        '1    UNCH                     '1                     272
7000       ----      ----      ----      ----        '1    UNCH                     '1                     488
7100       ----      ----      ----      ----        '1    UNCH                     '1                     146
7200       ----      ----      ----      ----        '1    UNCH                     '1                      69
7300       ----      ----      ----      ----        '1    UNCH                     '1                     117
7400       ----      ----      ----      ----        '1    UNCH                     '1                      48
7500       ----      ----      ----      ----        '1    UNCH                     '1                     107
7600       ----      ----      ----      ----        '1    UNCH                     '1                     130
7700       ----      ----      ----      ----        '1    UNCH                     '1                      82
7800       ----      ----      ----      ----        '1    UNCH                     '1                      63
7900       ----      ----      ----      ----        '1    UNCH                     '1                     430
8000       ----      ----      ----      ----        '1    UNCH                     '1                      83
8100       ----      ----      ----      ----        '1    UNCH                     '1
8200       ----      ----      ----      ----        '1    UNCH                     '1                       2
8300       ----      ----      ----      ----        '1    UNCH                     '1                      99
8400       ----      ----      ----      ----        '1    UNCH                     '1                       1
8500       ----      ----      ----      ----        '1    UNCH                     '1                      22
8600       ----      ----      ----      ----        '1    UNCH                     '1                      29
8700       ----      ----      ----      ----        '1    UNCH                     '1                      11
8800       ----      ----      ----      ----        '1    UNCH                     '1                      11
8900       ----      ----      ----      ----        '1    UNCH                     '1                      31
9000       ----      ----      ----      ----        '1    UNCH                     '1                     105
9100       ----      ----      ----      ----        '1    UNCH                     '1
9200       ----      ----      ----      ----        '1    UNCH                     '1                      27
9300       ----      ----      ----      ----        '1    UNCH                     '1                      56
WZ OCT19 Wheat Options CALL
3900       ----     130'1B    128'1A     ----     127'2    -2'0                  129'2
3950       ----     125'1B    123'1A     ----     122'2    -2'0                  124'2
4000       ----     120'1B    118'1A     ----     117'2    -2'0                  119'2
4050       ----     118'4B    109'5A     ----     112'3    -2'0                  114'3
4100       ----     113'4B    104'7A     ----     107'3    -2'0                  109'3
4150       ----     108'5B    100'0A     ----     102'4    -2'0                  104'4
4200       ----     103'5B     95'1A     ----      97'5    -2'0                   99'5
4250       ----      98'6B     90'1A     ----      92'6    -2'0                   94'6
4300       ----      93'7B     85'4A     ----      87'7    -2'0                   89'7
4350       ----      89'1B     80'6A     ----      83'1    -2'0                   85'1
4400       ----      84'2B     76'1A     ----      78'3    -2'0                   80'3
4450       ----      79'5B     71'4A     ----      73'6    -2'0                   75'6
4500       ----      74'7B     67'0A     ----      69'2    -1'7                   71'1                       5
4550       ----      70'3B     62'4A     ----      64'6    -1'7                   66'5
4600       ----      66'5B     58'2A     ----      60'3    -1'7                   62'2
4650       ----      62'1B     54'1A     ----      56'1    -1'7                   58'0
4700       ----      57'7B     50'0A     ----      52'0    -1'7                   53'7
4750       ----      53'6B     46'2A     ----      48'0    -1'7                   49'7
4800       ----      49'6B     42'3A     ----      44'2    -1'6                   46'0
4850       ----      46'2B     38'7A     ----      40'5    -1'6                   42'3
4900       ----      42'5B     35'4A     ----      37'2    -1'5                   38'7                      12
4950       33'7      39'1B     32'1A     ----      34'1    -1'4          10       35'5          10          10
5000       ----      36'0B     29'2A     ----      31'1    -1'3                   32'4                       4
5050       ----      32'7B     26'5A     ----      28'2    -1'3                   29'5
5100       ----      30'0B     24'1A     ----      25'6    -1'2                   27'0                      35
5150       ----      27'3B     21'6A     ----      23'2    -1'1                   24'3                      61
5200       21'0      24'7B     19'6A     ----      21'1    -1'0         255       22'1                     425
5250       ----      22'5B     17'6A     ----      19'0    -1'0                   20'0                      55
5300       ----      20'4B     16'0A     ----      17'1     -'7          19       18'0           8         100
5350       16'7      18'4B     14'3A     ----      15'4     -'6           8       16'2                      28
5400       ----      16'6B     13'0A     ----      13'7     -'6          19       14'5                      45
5450       ----      15'1B     11'5A     ----      12'4     -'6                   13'2                     237
5500       ----      13'5B     10'3A     ----      11'2     -'5           1       11'7                     635
5550       ----      12'2B      9'2A     ----      10'0     -'5                   10'5                     460
5600       10'0      11'0B      8'3A     ----       9'0     -'4           1        9'4          43         171
5650       ----       9'7B      7'4A     ----       8'0     -'4                    8'4                      18
5700       ----       8'7B      6'5A     ----       7'1     -'4           2        7'5          10         103
5750       ----       7'7B      6'0A     ----       6'3     -'4         100        6'7          13        1032
5800        6'2       7'0B      5'3A     ----       5'6     -'3           1        6'1          27          29
5850       ----       6'3B      4'6A     ----       5'1     -'2                    5'3                      38
5900       ----       5'5B      4'2A     ----       4'4     -'3                    4'7                      40
5950       ----       5'0B      3'6A     ----       4'0     -'2                    4'2                      12
6000        3'2       4'4B      3'2      ----       3'5     -'2         110        3'7          57         192
6050       ----       4'0B      3'0A     ----       3'2     -'1          18        3'3                     377
6100       ----       3'4B      2'5A     ----       2'7     -'1                    3'0                      29
6150       ----       3'1B      2'3A     ----       2'4     -'2                    2'6           1          20
6200       ----       2'6B      2'1A     ----       2'2     -'1                    2'3                     118
6250        2'4       2'4       1'7A     ----       2'0     -'1           7        2'1           9         337
6300        2'1       2'1       1'6A     ----       1'6     -'1           4        1'7           1          46
6350       ----       2'0B      1'4A     ----       1'4     -'2                    1'6           6           9
6400       ----       1'6B      1'3A     ----       1'3     -'1                    1'4           5          29
6450       ----       1'4B      1'2A     ----       1'2     -'1                    1'3           2          15
6500        1'2       1'3       1'1A     ----       1'1    UNCH           2        1'1          20          79
6550        1'2       1'2       1'0A     ----       1'0    UNCH           1        1'0                      23
6600        1'0       1'1B       '7A     ----        '7     -'1           8        1'0                      20
6650       ----       1'0B     ----      ----        '6     -'1                     '7           8          58
6700       ----        '7B     ----      ----        '6    UNCH                     '6                      13
6750       ----        '6B     ----      ----        '5    UNCH                     '5                      40
6800       ----      ----      ----      ----        '4     -'1                     '5                      13
6850       ----        '5B     ----      ----        '4    UNCH                     '4                      47
6900       ----      ----      ----      ----        '4    UNCH                     '4           5           5
WZ DEC19 Wheat Options CALL
2300       ----     293'3B    284'4A     ----     287'2    -2'0                  289'2
2400       ----     283'3B    274'4A     ----     277'2    -2'0                  279'2
2500       ----     273'3B    264'4A     ----     267'2    -2'0                  269'2
2600       ----     263'3B    254'4A     ----     257'2    -2'0                  259'2
2700       ----     253'3B    244'4A     ----     247'2    -2'0                  249'2
2800       ----     243'3B    234'4A     ----     237'2    -2'0                  239'2
2900       ----     233'3B    224'4A     ----     227'2    -2'0                  229'2
3000       ----     223'3B    214'4A     ----     217'2    -2'0                  219'2                       9
3100       ----     213'3B    204'4A     ----     207'2    -2'0                  209'2
3200       ----     203'3B    194'4A     ----     197'2    -2'0                  199'2
